date,interpolated_smoothed_head (masl)
7-Jan-70,57.99066102
8-Jan-70,57.99656768
9-Jan-70,58.00241496
10-Jan-70,58.00820288
11-Jan-70,58.01393142
12-Jan-70,58.01960058
13-Jan-70,58.02521038
14-Jan-70,58.03076079
15-Jan-70,58.03625184
16-Jan-70,58.04168351
17-Jan-70,58.04705581
18-Jan-70,58.05236874
19-Jan-70,58.05762229
20-Jan-70,58.06281647
21-Jan-70,58.06795127
22-Jan-70,58.0730267
23-Jan-70,58.07804276
24-Jan-70,58.08299945
25-Jan-70,58.08789676
26-Jan-70,58.0927347
27-Jan-70,58.09751326
28-Jan-70,58.10223245
29-Jan-70,58.10689227
30-Jan-70,58.11149272
31-Jan-70,58.11603379
1-Feb-70,58.12051549
2-Feb-70,58.12493781
3-Feb-70,58.12930076
4-Feb-70,58.13360434
5-Feb-70,58.13784854
6-Feb-70,58.14203337
7-Feb-70,58.14615883
8-Feb-70,58.15022492
9-Feb-70,58.15423163
10-Feb-70,58.15817896
11-Feb-70,58.16206693
12-Feb-70,58.165932
13-Feb-70,58.16977419
14-Feb-70,58.17359348
15-Feb-70,58.17738989
16-Feb-70,58.1811634
17-Feb-70,58.18491403
18-Feb-70,58.18864177
19-Feb-70,58.19234662
20-Feb-70,58.19586281
21-Feb-70,58.19919034
22-Feb-70,58.20232921
23-Feb-70,58.20527943
24-Feb-70,58.20804099
25-Feb-70,58.21061389
26-Feb-70,58.21299813
27-Feb-70,58.21519372
28-Feb-70,58.21720064
1-Mar-70,58.21901891
2-Mar-70,58.22064852
3-Mar-70,58.22208947
4-Mar-70,58.22334177
5-Mar-70,58.22440541
6-Mar-70,58.22528039
7-Mar-70,58.22596671
8-Mar-70,58.22646437
9-Mar-70,58.22677337
10-Mar-70,58.22689372
11-Mar-70,58.22682541
12-Mar-70,58.22656844
13-Mar-70,58.22612282
14-Mar-70,58.22548853
15-Mar-70,58.22466559
16-Mar-70,58.22365399
17-Mar-70,58.22245373
18-Mar-70,58.22106481
19-Mar-70,58.21948724
20-Mar-70,58.21772101
21-Mar-70,58.21576612
22-Mar-70,58.21362257
23-Mar-70,58.21129036
24-Mar-70,58.2087695
25-Mar-70,58.20605998
26-Mar-70,58.2031618
27-Mar-70,58.20007496
28-Mar-70,58.19679947
29-Mar-70,58.19333531
30-Mar-70,58.1896825
31-Mar-70,58.18584103
1-Apr-70,58.1818109
2-Apr-70,58.17759212
3-Apr-70,58.17318468
4-Apr-70,58.16858857
5-Apr-70,58.16380382
6-Apr-70,58.1588304
7-Apr-70,58.15366832
8-Apr-70,58.14831759
9-Apr-70,58.1427782
10-Apr-70,58.13705015
11-Apr-70,58.13113344
12-Apr-70,58.12502808
13-Apr-70,58.11873406
14-Apr-70,58.11225138
15-Apr-70,58.10558004
16-Apr-70,58.09872004
17-Apr-70,58.09167139
18-Apr-70,58.08443408
19-Apr-70,58.0770081
20-Apr-70,58.06939348
21-Apr-70,58.06159019
22-Apr-70,58.05359825
23-Apr-70,58.04541764
24-Apr-70,58.03704838
25-Apr-70,58.02849047
26-Apr-70,58.01974389
27-Apr-70,58.01080866
28-Apr-70,58.00168477
29-Apr-70,57.99237222
30-Apr-70,57.98287101
1-May-70,57.97318114
2-May-70,57.96330262
3-May-70,57.95323544
4-May-70,57.9429796
5-May-70,57.9325351
6-May-70,57.92190195
7-May-70,57.91108013
8-May-70,57.90006966
9-May-70,57.88887053
10-May-70,57.87748275
11-May-70,57.8659063
12-May-70,57.8541412
13-May-70,57.84218744
14-May-70,57.83004502
15-May-70,57.81771394
16-May-70,57.80519421
17-May-70,57.79248582
18-May-70,57.77958877
19-May-70,57.76650306
20-May-70,57.75322869
21-May-70,57.73976567
22-May-70,57.72611398
23-May-70,57.71227364
24-May-70,57.69824465
25-May-70,57.68402699
26-May-70,57.66962068
27-May-70,57.6550257
28-May-70,57.64024207
29-May-70,57.62526979
30-May-70,57.61010884
31-May-70,57.59475924
1-Jun-70,57.57922098
2-Jun-70,57.56349406
3-Jun-70,57.54757848
4-Jun-70,57.53147424
5-Jun-70,57.51518135
6-Jun-70,57.4986998
7-Jun-70,57.48202959
8-Jun-70,57.46517072
9-Jun-70,57.4481232
10-Jun-70,57.43088701
11-Jun-70,57.41346217
12-Jun-70,57.39584868
13-Jun-70,57.37804652
14-Jun-70,57.3600557
15-Jun-70,57.34187623
16-Jun-70,57.3235081
17-Jun-70,57.30495131
18-Jun-70,57.28620587
19-Jun-70,57.26727176
20-Jun-70,57.248149
21-Jun-70,57.22883758
22-Jun-70,57.2093375
23-Jun-70,57.18964876
24-Jun-70,57.16977137
25-Jun-70,57.14970532
26-Jun-70,57.12945061
27-Jun-70,57.10900724
28-Jun-70,57.08837521
29-Jun-70,57.06755453
30-Jun-70,57.04654519
1-Jul-70,57.02534719
2-Jul-70,57.00396053
3-Jul-70,56.98238522
4-Jul-70,56.96062124
5-Jul-70,56.93866861
6-Jul-70,56.91652732
7-Jul-70,56.89419737
8-Jul-70,56.87167877
9-Jul-70,56.84897151
10-Jul-70,56.82607558
11-Jul-70,56.80299101
12-Jul-70,56.77971777
13-Jul-70,56.75625587
14-Jul-70,56.73260532
15-Jul-70,56.70876611
16-Jul-70,56.68473824
17-Jul-70,56.66052171
18-Jul-70,56.63611653
19-Jul-70,56.61152269
20-Jul-70,56.58674019
21-Jul-70,56.56176903
22-Jul-70,56.53660921
23-Jul-70,56.51126074
24-Jul-70,56.4857236
25-Jul-70,56.45999781
26-Jul-70,56.43408337
27-Jul-70,56.40798026
28-Jul-70,56.3816885
29-Jul-70,56.35520807
30-Jul-70,56.32853899
31-Jul-70,56.30168126
1-Aug-70,56.27463486
2-Aug-70,56.24739981
3-Aug-70,56.2199761
4-Aug-70,56.19236373
5-Aug-70,56.1645627
6-Aug-70,56.13657301
7-Aug-70,56.10839467
8-Aug-70,56.08002767
9-Aug-70,56.05147201
10-Aug-70,56.02272769
11-Aug-70,55.99379472
12-Aug-70,55.96467308
13-Aug-70,55.93536279
14-Aug-70,55.90586384
15-Aug-70,55.87617624
16-Aug-70,55.84629997
17-Aug-70,55.81623505
18-Aug-70,55.78598147
19-Aug-70,55.75553923
20-Aug-70,55.72490833
21-Aug-70,55.69408878
22-Aug-70,55.66308057
23-Aug-70,55.6318837
24-Aug-70,55.60049817
25-Aug-70,55.56892398
26-Aug-70,55.53716114
27-Aug-70,55.50520964
28-Aug-70,55.47306948
29-Aug-70,55.44074066
30-Aug-70,55.40822318
31-Aug-70,55.37551705
1-Sep-70,55.34262226
2-Sep-70,55.30953881
3-Sep-70,55.2762667
4-Sep-70,55.24280593
5-Sep-70,55.20915651
6-Sep-70,55.17531843
7-Sep-70,55.14129169
8-Sep-70,55.10707629
9-Sep-70,55.07267224
10-Sep-70,55.03807952
11-Sep-70,55.00329815
12-Sep-70,54.96832812
13-Sep-70,54.93316943
14-Sep-70,54.89782209
15-Sep-70,54.86228609
16-Sep-70,54.82656143
17-Sep-70,54.79064811
18-Sep-70,54.75454613
19-Sep-70,54.7182555
20-Sep-70,54.6817762
21-Sep-70,54.64510825
22-Sep-70,54.60825164
23-Sep-70,54.57120638
24-Sep-70,54.55521113
25-Sep-70,54.53889924
26-Sep-70,54.52227068
27-Sep-70,54.50532547
28-Sep-70,54.48806361
29-Sep-70,54.47048508
30-Sep-70,54.4525899
1-Oct-70,54.43437807
2-Oct-70,54.41622308
3-Oct-70,54.39812494
4-Oct-70,54.38008365
5-Oct-70,54.3620992
6-Oct-70,54.3441716
7-Oct-70,54.32630084
8-Oct-70,54.30848693
9-Oct-70,54.29072987
10-Oct-70,54.27302965
11-Oct-70,54.25538629
12-Oct-70,54.23779976
13-Oct-70,54.22027009
14-Oct-70,54.20279726
15-Oct-70,54.18538128
16-Oct-70,54.16802214
17-Oct-70,54.15071985
18-Oct-70,54.13347441
19-Oct-70,54.11628581
20-Oct-70,54.09915406
21-Oct-70,54.08207916
22-Oct-70,54.0650611
23-Oct-70,54.04809989
24-Oct-70,54.03119553
25-Oct-70,54.01434802
26-Oct-70,53.99755735
27-Oct-70,53.98082352
28-Oct-70,53.96414655
29-Oct-70,53.94752642
30-Oct-70,53.93096313
31-Oct-70,53.9144567
1-Nov-70,53.89800711
2-Nov-70,53.88161436
3-Nov-70,53.86527846
4-Nov-70,53.84899941
5-Nov-70,53.83277721
6-Nov-70,53.81661185
7-Nov-70,53.80050334
8-Nov-70,53.78445168
9-Nov-70,53.76845686
10-Nov-70,53.75251889
11-Nov-70,53.73663777
12-Nov-70,53.72081349
13-Nov-70,53.70504606
14-Nov-70,53.68933547
15-Nov-70,53.67368174
16-Nov-70,53.65808484
17-Nov-70,53.6425448
18-Nov-70,53.6270616
19-Nov-70,53.61163525
20-Nov-70,53.59626575
21-Nov-70,53.58095309
