dates,Interconnected Matrix,total_10.00 clays,total
14-May-1951,0.0,0.0,0.0
15-May-1951,-0.00010320073450555497,-0.0002201317618948631,-0.00032333249640041807
16-May-1951,-0.00020641300985506576,-0.0005006863776741735,-0.0007070993875292393
17-May-1951,-0.00030960652681242406,-0.0007915215809353497,-0.0011011281077477739
18-May-1951,-0.0004127509906738621,-0.0010919289195963618,-0.0015046799102702239
19-May-1951,-0.0005158161201585792,-0.0014012195531700419,-0.001917035673328621
20-May-1951,-0.0006187716564680391,-0.0017187504288108915,-0.0023375220852789305
21-May-1951,-0.0007215873721660733,-0.0020514693492208924,-0.0027730567213869657
22-May-1951,-0.0008242330802220606,-0.0024192924711052104,-0.003243525551327271
23-May-1951,-0.0009266786428699826,-0.0028020200743310406,-0.0037286987172010233
24-May-1951,-0.0010288939806247937,-0.00319886634823078,-0.0042277603288555735
25-May-1951,-0.0011308490811098174,-0.00360908269355912,-0.004739931774668938
26-May-1951,-0.0012325140080250937,-0.0040319549168586,-0.0052644689248836935
27-May-1951,-0.0013338589099858445,-0.004466800661661149,-0.005800659571646994
28-May-1951,-0.0014348540293364583,-0.004912967055724279,-0.006347821085060738
29-May-1951,-0.0015354697110424296,-0.00536982855548169,-0.006905298266524119
30-May-1951,-0.0016356764113932578,-0.0058367849698283585,-0.0074724613812216165
31-May-1951,-0.0017354447068411419,-0.0063132596482801985,-0.00804870435512134
01-Jun-1951,-0.0018347453026358834,-0.006798697818520308,-0.008633443121156192
02-Jun-1951,-0.0019335490415890975,-0.007292565061145984,-0.009226114102735081
03-Jun-1951,-0.0020318269126309877,-0.007794345909121623,-0.009826172821752611
04-Jun-1951,-0.002129550059489656,-0.008303542561995345,-0.010433092621485
05-Jun-1951,-0.0022266897891595767,-0.008819673704430531,-0.011046363493590108
06-Jun-1951,-0.002323217580485758,-0.009342273420940943,-0.0116654910014267
07-Jun-1951,-0.0024191050925338117,-0.009870890198056518,-0.01228999529059033
08-Jun-1951,-0.0025143241730589813,-0.010405086007288516,-0.012919410180347497
09-Jun-1951,-0.002608846866817493,-0.010944435461655279,-0.013553282328472771
10-Jun-1951,-0.0027026454238210274,-0.01148852503989661,-0.014191170463717637
11-Jun-1951,-0.002795692307628679,-0.01203695237304756,-0.014832644680676238
12-Jun-1951,-0.0028879602034280376,-0.012589325587747092,-0.01547728579117513
13-Jun-1951,-0.0029794220262071166,-0.013145262702330542,-0.016124684728537658
14-Jun-1951,-0.0030700509287029092,-0.013704391070780118,-0.016774441999483025
15-Jun-1951,-0.0031598203094334704,-0.014266346871354923,-0.017426167180788394
16-Jun-1951,-0.0032487038205045496,-0.014830774635680688,-0.01807947845618524
17-Jun-1951,-0.0033366753754922414,-0.015409516603514523,-0.018746191979006763
18-Jun-1951,-0.0034237091570985347,-0.016028538588482178,-0.019452247745580714
19-Jun-1951,-0.003509779624866233,-0.01665188174085323,-0.020161661365719463
20-Jun-1951,-0.003594861522719025,-0.01727918315979752,-0.020874044682516545
21-Jun-1951,-0.003678929886419232,-0.017910084643984088,-0.02158901453040332
22-Jun-1951,-0.0037619600510272306,-0.01854423254876318,-0.02230619259979041
23-Jun-1951,-0.0038439276581398664,-0.01918127765461902,-0.023025205312758885
24-Jun-1951,-0.00392480866317788,-0.019820875046653037,-0.023745683709830916
25-Jun-1951,-0.004004579342442227,-0.020462684003879163,-0.02446726334632139
26-Jun-1951,-0.004083216300211594,-0.02110636789819725,-0.025189584198408846
27-Jun-1951,-0.004160696475608342,-0.021751594101932722,-0.025912290577541065
28-Jun-1951,-0.004236997149497688,-0.02239803390388298,-0.026635031053380668
29-Jun-1951,-0.004312095951155093,-0.023045362432850918,-0.027357458384006012
30-Jun-1951,-0.004385970864958998,-0.02369325858866503,-0.02807922945362403
01-Jul-1951,-0.004458600236851742,-0.024341404979749508,-0.02880000521660125
02-Jul-1951,-0.004529962780810441,-0.024989487867274826,-0.02951945064808527
03-Jul-1951,-0.004600037585130826,-0.025637197115124924,-0.03023723470025575
04-Jul-1951,-0.004668804118602403,-0.026284226145452273,-0.030953030264054677
05-Jul-1951,-0.0047362422366432145,-0.026930271899606194,-0.03166651413624941
06-Jul-1951,-0.004802332187211641,-0.027575034803764713,-0.032377366990976354
07-Jul-1951,-0.004867054616715734,-0.02821821873937573,-0.03308527335609147
08-Jul-1951,-0.0049303905756928725,-0.02885953101769453,-0.0337899215933874
09-Jul-1951,-0.004992321524478935,-0.029498682358559365,-0.0344910038830383
10-Jul-1951,-0.00505282933864916,-0.030135386872739117,-0.035188216211388276
11-Jul-1951,-0.005111896314440465,-0.03076936204800951,-0.03588125836244998
12-Jul-1951,-0.005169505173946975,-0.03140032873833837,-0.03656983391228534
13-Jul-1951,-0.005225639070289122,-0.03202801115634472,-0.037253650226633836
14-Jul-1951,-0.005280281592557659,-0.032652136868454806,-0.03793241846101247
15-Jul-1951,-0.005333416770717979,-0.03327243679291459,-0.03860585356363257
16-Jul-1951,-0.005385029080324042,-0.033888645200197055,-0.0392736742805211
17-Jul-1951,-0.005435103447103233,-0.034500499715742414,-0.03993560316284565
18-Jul-1951,-0.005483625251460405,-0.03510774132496921,-0.040591366576429616
19-Jul-1951,-0.005530580332768282,-0.035710114380147255,-0.04124069471291554
20-Jul-1951,-0.005575954993603945,-0.03630736660929131,-0.041883321602895256
21-Jul-1951,-0.005619736003768619,-0.03689924912662893,-0.04251898513039755
22-Jul-1951,-0.005661910604245781,-0.0374855164448062,-0.04314742704905199
23-Jul-1951,-0.005702466510945561,-0.03807963379699226,-0.04378210030793782
24-Jul-1951,-0.0057413919183797995,-0.038709931898754206,-0.04445132381713401
25-Jul-1951,-0.005778675503126623,-0.039335403091475894,-0.045114078594602515
26-Jul-1951,-0.005814306427214477,-0.039955793525313324,-0.0457700999525278
27-Jul-1951,-0.0058482743413207795,-0.0405708521961662,-0.04641912653748698
28-Jul-1951,-0.0058805693878289,-0.04118033098542804,-0.04706090037325694
29-Jul-1951,-0.005911182203773302,-0.04178398470009292,-0.04769516690386622
30-Jul-1951,-0.005940112341356138,-0.04238159811063223,-0.04832171045198837
31-Jul-1951,-0.005967359112453367,-0.04297295840336762,-0.04894031751582099
01-Aug-1951,-0.005992914654055773,-0.0435578327566799,-0.049550747410735674
02-Aug-1951,-0.006016771608012793,-0.044135991327755454,-0.050152762935768244
03-Aug-1951,-0.006038923123191865,-0.04470720730023593,-0.0507461304234278
04-Aug-1951,-0.006059362857528169,-0.045271256931266046,-0.05133061978879422
05-Aug-1951,-0.006078084979885764,-0.045827919597832736,-0.051906004577718504
06-Aug-1951,-0.006095084171802168,-0.046376977842520255,-0.052472062014322425
07-Aug-1951,-0.006110355629049131,-0.04691821741858507,-0.0530285730476342
08-Aug-1951,-0.006123895063068695,-0.04745142733444131,-0.053575322397510006
09-Aug-1951,-0.006135698702237999,-0.04797639989749054,-0.05411209859972854
10-Aug-1951,-0.006145763292984278,-0.048492930757322236,-0.05463869405030651
11-Aug-1951,-0.00615408610075659,-0.04900081894829202,-0.055154905049048616
12-Aug-1951,-0.006160664910828314,-0.04949986693142958,-0.055660531842257895
13-Aug-1951,-0.0061654980289597905,-0.04998988063571434,-0.056155378664674134
14-Aug-1951,-0.006168584281895496,-0.05047066949866724,-0.05663925378056274
15-Aug-1951,-0.006169923017715036,-0.050942046506277164,-0.0571119695239922
