dates,Upper Aquifer,Corcoran Clay,Lower Aquifer,Total
14-May-1951,0.0,0.0,0.0,0.0
15-May-1951,-2.9655287861123718e-05,3.3674522250787065e-06,-0.00032333249640041807,-0.0003496203320364631
16-May-1951,-6.263642683062284e-05,-2.4682187237673867e-05,-0.0007070993875292393,-0.000794418001597536
17-May-1951,-9.657669182223842e-05,-4.9292636719073436e-05,-0.0011011281077477739,-0.0012469974362890857
18-May-1951,-0.00013140823707917157,-7.450588432424921e-05,-0.0015046799102702239,-0.0017105940316736446
19-May-1951,-0.0001670650405092619,-9.99275580023138e-05,-0.001917035673328621,-0.002184028271840197
20-May-1951,-0.00020348534249964908,-0.00012553778027701962,-0.0023375220852789305,-0.002666545208055599
21-May-1951,-0.00024061126628999264,-0.00015131740071497773,-0.0027730567213869657,-0.003164985388391936
22-May-1951,-0.0002783884631082399,-0.00017724811941326223,-0.003243525551327271,-0.003699162133848773
23-May-1951,-0.0003167657925312393,-0.00020331241864091738,-0.0037286987172010233,-0.00424877692837318
24-May-1951,-0.0003556950345411134,-0.00022949349543829244,-0.0042277603288555735,-0.00481294885883498
25-May-1951,-0.0003951306299258216,-0.0002557752007541266,-0.004739931774668938,-0.005390837605348886
26-May-1951,-0.0004350294462234492,-0.00028214198472573246,-0.0052644689248836935,-0.005981640355832875
27-May-1951,-0.00047535056653454105,-0.0003085788474142914,-0.005800659571646994,-0.006584588985595827
28-May-1951,-0.0005160550989138687,-0.00033507129446649827,-0.006347821085060738,-0.007198947478441105
29-May-1951,-0.0005571060042985302,-0.00036160529723167236,-0.006905298266524119,-0.007824009568054322
30-May-1951,-0.0005984679410321763,-0.00038816725681751536,-0.0074724613812216165,-0.008459096579071308
31-May-1951,-0.0006401071244205365,-0.000414743971772277,-0.00804870435512134,-0.009103555451314154
01-Jun-1951,-0.0006819911997248343,-0.0004413226089454976,-0.008633443121156192,-0.009756756929826523
02-Jun-1951,-0.0007240891273577492,-0.00046789067729629446,-0.009226114102735081,-0.010418093907389125
03-Jun-1951,-0.000766371078982167,-0.0004944360042724835,-0.009826172821752611,-0.011086979905007262
04-Jun-1951,-0.0008088083435380206,-0.0005209467145913813,-0.010433092621485,-0.011762847679614403
05-Jun-1951,-0.0008513732421318324,-0.0005474112111028412,-0.011046363493590108,-0.012445147946824782
06-Jun-1951,-0.000894039051021845,-0.000574339273149249,-0.0116654910014267,-0.013133869325597795
07-Jun-1951,-0.0009367799318212623,-0.0006012532261125668,-0.01228999529059033,-0.013828028448524158
08-Jun-1951,-0.0009795708683147883,-0.0006281429974363307,-0.012919410180347497,-0.014527124046098615
09-Jun-1951,-0.0010223876091830157,-0.0006549987162575294,-0.013553282328472771,-0.015230668653913317
10-Jun-1951,-0.0010652066160987915,-0.0006818107019624977,-0.014191170463717637,-0.015938187781778926
11-Jun-1951,-0.0011080050167157982,-0.0007085694539261568,-0.014832644680676238,-0.016649219151318194
12-Jun-1951,-0.0011507605620157822,-0.0007352656422678675,-0.01547728579117513,-0.017363311995458777
13-Jun-1951,-0.0011934515876928051,-0.0007618900995948001,-0.016124684728537658,-0.018080026415825262
14-Jun-1951,-0.001236056979107067,-0.0007884338135717286,-0.016774441999483025,-0.01879893279216182
15-Jun-1951,-0.0012850572074493117,-0.0008148879203076835,-0.017426167180788394,-0.01952611230854539
16-Jun-1951,-0.0013364396842646014,-0.0008412436984161768,-0.01807947845618524,-0.020257161838866018
17-Jun-1951,-0.001388041288487849,-0.00086749256375296,-0.018746191979006763,-0.021001725831247573
18-Jun-1951,-0.0014398308866842274,-0.0008936260647029258,-0.019452247745580714,-0.02178570469696787
19-Jun-1951,-0.0014917780064833844,-0.0009196358780283288,-0.020161661365719463,-0.022573075250231174
20-Jun-1951,-0.0015438528050493127,-0.0009455138051767129,-0.020874044682516545,-0.02336341129274257
21-Jun-1951,-0.001596026040074349,-0.0009712517690259127,-0.02158901453040332,-0.02415629233950358
22-Jun-1951,-0.0016482690431191935,-0.0009968418110460505,-0.02230619259979041,-0.024951303453955655
23-Jun-1951,-0.0017005536950781336,-0.001022276088791698,-0.023025205312758885,-0.025748035096628714
24-Jun-1951,-0.0017528524036563354,-0.0010475468737534564,-0.023745683709830916,-0.026546082987240708
25-Jun-1951,-0.0018051380826558834,-0.001072646549475643,-0.02446726334632139,-0.027345047978452917
26-Jun-1951,-0.0018573841329834937,-0.0010975676099754855,-0.025189584198408846,-0.028144535941367826
27-Jun-1951,-0.001909564425200444,-0.0011223026583772086,-0.025912290577541065,-0.028944157661118717
28-Jun-1951,-0.0019616532835474323,-0.0011468444057996115,-0.026635031053380668,-0.02974352874272771
29-Jun-1951,-0.0020136254712870222,-0.0011711856704162238,-0.027357458384006012,-0.030542269525709258
30-Jun-1951,-0.002065456177311224,-0.0011953193767288608,-0.02807922945362403,-0.031340005007664117
01-Jul-1951,-0.0021171210038747395,-0.0012192385549788687,-0.02880000521660125,-0.03213636477545486
02-Jul-1951,-0.002168595955414104,-0.0012429363407364302,-0.02951945064808527,-0.032930982944235805
03-Jul-1951,-0.0022198574283380603,-0.0012664059746087626,-0.03023723470025575,-0.033723498103202576
04-Jul-1951,-0.002270882201730246,-0.0012896408020727887,-0.030953030264054677,-0.03451355326785771
05-Jul-1951,-0.002321647428911485,-0.0013126342734360611,-0.03166651413624941,-0.03530079583859695
06-Jul-1951,-0.002372130629764398,-0.0013353799438739638,-0.032377366990976354,-0.03608487756461472
07-Jul-1951,-0.0024223096838056997,-0.0013578714735836693,-0.03308527335609147,-0.03686545451348083
08-Jul-1951,-0.0024721628239088144,-0.0013801026279942218,-0.0337899215933874,-0.03764218704529044
09-Jul-1951,-0.0025216686306706224,-0.0014020672780747404,-0.0344910038830383,-0.03841473979178366
10-Jul-1951,-0.0025708060273341867,-0.0014237594006834909,-0.035188216211388276,-0.03918278163940595
11-Jul-1951,-0.0026195542752659056,-0.0014451730789990683,-0.03588125836244998,-0.039945985716714955
12-Jul-1951,-0.002667892969907668,-0.0014663025029795502,-0.03656983391228534,-0.040704029385172556
13-Jul-1951,-0.002715802037205775,-0.0014871419698901111,-0.037253650226633836,-0.04145659423372972
14-Jul-1951,-0.0027632617304453344,-0.0015076858848479422,-0.03793241846101247,-0.042203366076305746
15-Jul-1951,-0.0028102526274928156,-0.0015279287614223197,-0.03860585356363257,-0.0429440349525477
16-Jul-1951,-0.0028567556283901345,-0.001547865222250714,-0.0392736742805211,-0.04367829513116195
17-Jul-1951,-0.002902751953283172,-0.001567489999680807,-0.03993560316284565,-0.044405845115809625
18-Jul-1951,-0.002948223140669323,-0.0015867979364457719,-0.040591366576429616,-0.04512638765354471
19-Jul-1951,-0.0029931510459147576,-0.0016057839863387385,-0.04124069471291554,-0.04583962974516904
20-Jul-1951,-0.0030375178400495594,-0.0016244432149198492,-0.041883321602895256,-0.046545282657864666
21-Jul-1951,-0.003081306008788918,-0.0016427708002155123,-0.04251898513039755,-0.047243061939401976
22-Jul-1951,-0.00312449835179073,-0.0016607620334426916,-0.04314742704905199,-0.04793268743428541
23-Jul-1951,-0.0031670779821026127,-0.0016784123197206094,-0.04378210030793782,-0.04862759060976104
24-Jul-1951,-0.003209028325808344,-0.0016957171788008476,-0.04445132381713401,-0.0493560693217432
25-Jul-1951,-0.003250333121831982,-0.0017126722457808056,-0.045114078594602515,-0.0500770839622153
26-Jul-1951,-0.0032909764219080625,-0.001729273271828728,-0.0457700999525278,-0.05079034964626459
27-Jul-1951,-0.003330942590685788,-0.001745516124893944,-0.04641912653748698,-0.05149558525306671
28-Jul-1951,-0.0033702163059608258,-0.0017613967904106945,-0.04706090037325694,-0.052192513469628464
29-Jul-1951,-0.003408782559029255,-0.0017769113720007166,-0.04769516690386622,-0.052880860834896196
30-Jul-1951,-0.0034466266551349506,-0.0017920590160525993,-0.04832171045198837,-0.05356039612317592
31-Jul-1951,-0.0034837342140200418,-0.001806838737689364,-0.04894031751582099,-0.05423089046753039
01-Aug-1951,-0.00352009117054773,-0.0018212470112922215,-0.049550747410735674,-0.05489208559257563
02-Aug-1951,-0.0035556837754068607,-0.0018352804320735535,-0.050152762935768244,-0.05554372714324866
03-Aug-1951,-0.0035904985958714114,-0.0018489357166996151,-0.0507461304234278,-0.056185564735998825
04-Aug-1951,-0.0036245225166222123,-0.001862209703904365,-0.05133061978879422,-0.056817352009320796
05-Aug-1951,-0.0036577427406088445,-0.0018750993550753394,-0.051906004577718504,-0.05743884667340269
06-Aug-1951,-0.0036901467899562567,-0.0018876017548269863,-0.052472062014322425,-0.05804981055910567
07-Aug-1951,-0.003721722506897788,-0.0018997141115453624,-0.0530285730476342,-0.05865000966607735
08-Aug-1951,-0.0037524580547377627,-0.0019114337579164663,-0.053575322397510006,-0.05923921421016423
09-Aug-1951,-0.003793718369654737,-0.001922758151427025,-0.05411209859972854,-0.0598285751208103
10-Aug-1951,-0.0038342676768217693,-0.00193368487484177,-0.05463869405030651,-0.06040664660197005
11-Aug-1951,-0.0038740901816186743,-0.0019442116366578015,-0.055154905049048616,-0.06097320686732509
12-Aug-1951,-0.003913170395110941,-0.0019543362715296123,-0.055660531842257895,-0.061528038508898444
13-Aug-1951,-0.003951493136165092,-0.001964056740670748,-0.056155378664674134,-0.06207092854150997
14-Aug-1951,-0.003989043533557496,-0.0019733711322254583,-0.05663925378056274,-0.0626016684463457
15-Aug-1951,-0.0040258070280745975,-0.001982277661614446,-0.0571119695239922,-0.06312005421368125
16-Aug-1951,-0.004061769374598563,-0.001990774671850679,-0.057573342338253765,-0.06362588638470301
17-Aug-1951,-0.004096916644176156,-0.001998860633826889,-0.05802319281442863,-0.06411897009243167
18-Aug-1951,-0.004131235226066992,-0.0020065341465732656,-0.05846134572908099,-0.06459911510172124
19-Aug-1951,-0.004164711829765807,-0.002013793937484544,-0.058887630081057483,-0.06506613584830784
20-Aug-1951,-0.004197333486998593,-0.0020206388625177265,-0.059301879127396095,-0.06551985147691242
21-Aug-1951,-0.004229087553686263,-0.0020270679063571473,-0.0597039304182972,-0.06596008587834061
22-Aug-1951,-0.0042599617118750065,-0.0020330801825492527,-0.06009362583117273,-0.066386667725597
23-Aug-1951,-0.004289943971629051,-0.002038674933606517,-0.060470811603754136,-0.0667994305089897
24-Aug-1951,-0.00431902267288299,-0.0020438515310760687,-0.06083533836619852,-0.06719821257015758
25-Aug-1951,-0.004347186487252311,-0.002048609475580625,-0.0611870611722649,-0.06758285713509783
26-Aug-1951,-0.004374424419797378,-0.0020536972540489526,-0.06152583952943174,-0.06795396120327807
27-Aug-1951,-0.004400725810740615,-0.0020588952889149734,-0.06185850202126078,-0.06831812312091637
28-Aug-1951,-0.00442608033713187,-0.002064202233319853,-0.062242549457070834,-0.06873283202752256
29-Aug-1951,-0.004450478014462552,-0.0020696167129849825,-0.06262173941498236,-0.0691418341424299
30-Aug-1951,-0.004474198612009604,-0.002075137326492974,-0.06299592858221983,-0.0695452645207224
31-Aug-1951,-0.004497568021469988,-0.002080762645578511,-0.06336497552371641,-0.0699433061907649
01-Sep-1951,-0.004520515803566978,-0.0020864912154339803,-0.06372874071918817,-0.07033574773818912
02-Sep-1951,-0.004543033152241974,-0.0020923215550253255,-0.06408708659969606,-0.07072244130696335
03-Sep-1951,-0.004565111429455069,-0.0020982521574192154,-0.064439877583692,-0.0711032411705663
04-Sep-1951,-0.0045867421668552,-0.002104281490124072,-0.06478698011255984,-0.07147800376953911
05-Sep-1951,-0.004607917067421297,-0.0021104079954386255,-0.06512826268559575,-0.07184658774845568
06-Sep-1951,-0.004628628007080949,-0.0021166300908152824,-0.06546359589447012,-0.07220885399236636
07-Sep-1951,-0.004648867036295794,-0.002122946169230005,-0.06579285245710369,-0.07256466566262948
08-Sep-1951,-0.004668626381623078,-0.0021293545995669056,-0.06611590725100751,-0.0729138882321975
09-Sep-1951,-0.00468789844724077,-0.0021358537270084843,-0.06643263734601347,-0.07325638952026273
10-Sep-1951,-0.004706675816447384,-0.0021424418734404187,-0.06674292203644787,-0.07359203972633567
11-Sep-1951,-0.004724951253122346,-0.0021491173378611387,-0.06704664287267471,-0.0739207114636582
12-Sep-1951,-0.004741156214928361,-0.002155878396806031,-0.06729608323452035,-0.07419311784625475
13-Sep-1951,-0.004754087677491454,-0.0021627233047754307,-0.06753564440073323,-0.07445245538300012
14-Sep-1951,-0.004766016050986174,-0.0021696502946767456,-0.06776502971682598,-0.0747006960624889
15-Sep-1951,-0.004777075848075272,-0.002176657578271949,-0.06798870612687621,-0.07494243955322344
16-Sep-1951,-0.004787279692788313,-0.0021837433466333996,-0.06820777774922665,-0.07517880078864836
17-Sep-1951,-0.004799916666808713,-0.002190905770611828,-0.06842214910808765,-0.07541297154550819
18-Sep-1951,-0.004821669274147583,-0.0021981430013066276,-0.06863172832698905,-0.07565154060244327
19-Sep-1951,-0.004842657859356514,-0.00220545317055032,-0.06883642699505255,-0.07588453802495938
20-Sep-1951,-0.004862880857821324,-0.0022128343913941782,-0.06903616004680942,-0.07611187529602492
21-Sep-1951,-0.004882336726548239,-0.0022202847586080213,-0.06923084565224585,-0.07633346713740212
22-Sep-1951,-0.004901023957064458,-0.0022278023491802304,-0.06942040511606865,-0.07654923142231333
23-Sep-1951,-0.0049189410873378666,-0.0022353852228319993,-0.06960476278541722,-0.07675908909558708
24-Sep-1951,-0.004936086712788088,-0.002243031422530942,-0.06978384596526813,-0.07696296410058716
25-Sep-1951,-0.0049526961545314305,-0.002250738975018891,-0.06999879929912406,-0.07720223442867438
26-Sep-1951,-0.0049689255908019914,-0.0022585058913383404,-0.0702226672668727,-0.07745009874901303
27-Sep-1951,-0.004984769878238298,-0.0022663301673723087,-0.07044165020313597,-0.07769275024874658
28-Sep-1951,-0.005000224090157449,-0.002274209784385329,-0.07065566806248187,-0.07793010193702465
29-Sep-1951,-0.005014672141648819,-0.002282142709570027,-0.07082883961150342,-0.07812565446272227
30-Sep-1951,-0.0050256966659181146,-0.002290126896604397,-0.07098380335262229,-0.0782996269151448
01-Oct-1951,-0.005035262942097907,-0.002298160286206611,-0.07112877198502147,-0.078462195213326
02-Oct-1951,-0.00504388003180774,-0.0023062408067033267,-0.07126988597418593,-0.078620006812697
03-Oct-1951,-0.0050517004590698855,-0.002314366374594327,-0.07140707333348377,-0.07877314016714798
