dates,Interconnected Matrix,total_5.00 clays,total
14-May-1951,0.0,0.0,0.0
15-May-1951,-1.6817995049583913e-05,-1.2837292811539805e-05,-2.9655287861123718e-05
16-May-1951,-3.363916921251231e-05,-2.8997257618110523e-05,-6.263642683062284e-05
17-May-1951,-5.04586128903545e-05,-4.611807893188392e-05,-9.657669182223842e-05
18-May-1951,-6.727141721906519e-05,-6.41368198601064e-05,-0.00013140823707917157
19-May-1951,-8.40726755096226e-05,-8.299236499963929e-05,-0.0001670650405092619
20-May-1951,-0.00010085748471597852,-0.00010262785778367056,-0.00020348534249964908
21-May-1951,-0.00011762094687392383,-0.0001229903194160688,-0.00024061126628999264
22-May-1951,-0.00013435817056647805,-0.00014403029254176188,-0.0002783884631082399
23-May-1951,-0.00015106427235931342,-0.0001657015201719259,-0.0003167657925312393
24-May-1951,-0.00016773437826182223,-0.0001879606562792912,-0.0003556950345411134
25-May-1951,-0.00018436362515738714,-0.00021076700476843445,-0.0003951306299258216
26-May-1951,-0.00020094716225666295,-0.0002340822839667863,-0.0004350294462234492
27-May-1951,-0.00021748015252973443,-0.0002578704140048066,-0.00047535056653454105
28-May-1951,-0.00023395777413423628,-0.00028209732477963237,-0.0005160550989138687
29-May-1951,-0.00025037522185625375,-0.00030673078244227646,-0.0005571060042985302
30-May-1951,-0.0002667277085204644,-0.000331740232511712,-0.0005984679410321763
31-May-1951,-0.0002830104664223723,-0.0003570966579981642,-0.0006401071244205365
01-Jun-1951,-0.00029921874872745283,-0.00038277245099738145,-0.0006819911997248343
02-Jun-1951,-0.00031534783089129007,-0.00040874129646645903,-0.0007240891273577492
03-Jun-1951,-0.0003313930120460885,-0.00043497806693607857,-0.000766371078982167
04-Jun-1951,-0.00034734961640706146,-0.00046145872713095916,-0.0008088083435380206
05-Jun-1951,-0.00036321299464459744,-0.00048816024748723493,-0.0008513732421318324
06-Jun-1951,-0.00037897852527525816,-0.0005150605257465868,-0.000894039051021845
07-Jun-1951,-0.0003946416160180071,-0.0005421383158032551,-0.0009367799318212623
08-Jun-1951,-0.00041019770516651253,-0.0005693731631482757,-0.0009795708683147883
09-Jun-1951,-0.00042564226293590585,-0.0005967453462471098,-0.0010223876091830157
10-Jun-1951,-0.00044097079280030945,-0.000624235823298482,-0.0010652066160987915
11-Jun-1951,-0.0004561788328364163,-0.0006518261838793819,-0.0011080050167157982
12-Jun-1951,-0.00047126195703295636,-0.0006794986049828259,-0.0011507605620157822
13-Jun-1951,-0.0004862157766148532,-0.0007072358110779519,-0.0011934515876928051
14-Jun-1951,-0.0005010359413311505,-0.0007350210377759165,-0.001236056979107067
15-Jun-1951,-0.0005157181407565237,-0.0007693390666927879,-0.0012850572074493117
16-Jun-1951,-0.0005302581055562599,-0.0008061815787083414,-0.0013364396842646014
17-Jun-1951,-0.0005446516087635326,-0.0008433896797243164,-0.001388041288487849
18-Jun-1951,-0.0005588944670198595,-0.0008809364196643678,-0.0014398308866842274
19-Jun-1951,-0.0005729825418252348,-0.0009187954646581496,-0.0014917780064833844
20-Jun-1951,-0.0005869117407598759,-0.0009569410642894367,-0.0015438528050493127
21-Jun-1951,-0.000600678018692692,-0.000995348021381657,-0.001596026040074349
22-Jun-1951,-0.0006142773789899499,-0.0010339916641292435,-0.0016482690431191935
23-Jun-1951,-0.0006277058746881628,-0.0010728478203899708,-0.0017005536950781336
24-Jun-1951,-0.0006409596096749523,-0.001111892793981383,-0.0017528524036563354
25-Jun-1951,-0.0006540347398324201,-0.0011511033428234633,-0.0018051380826558834
26-Jun-1951,-0.0006669274741872062,-0.0011904566587962874,-0.0018573841329834937
27-Jun-1951,-0.0006796340760230376,-0.0012299303491774063,-0.001909564425200444
28-Jun-1951,-0.0006921508639986096,-0.0012695024195488226,-0.0019616532835474323
29-Jun-1951,-0.0007044742132280074,-0.0013091512580590148,-0.0020136254712870222
30-Jun-1951,-0.000716600556365148,-0.0013488556209460762,-0.002065456177311224
01-Jul-1951,-0.000728526384650697,-0.0013885946192240426,-0.0021171210038747395
02-Jul-1951,-0.0007402482489605636,-0.0014283477064535401,-0.002168595955414104
03-Jul-1951,-0.0007517627608241541,-0.0014680946675139062,-0.0022198574283380603
04-Jul-1951,-0.0007630665934249461,-0.0015078156083052998,-0.002270882201730246
05-Jul-1951,-0.0007741564825945794,-0.0015474909463169054,-0.002321647428911485
06-Jul-1951,-0.0007850292277707456,-0.001587101401993652,-0.002372130629764398
07-Jul-1951,-0.0007956816929547475,-0.001626627990850952,-0.0024223096838056997
08-Jul-1951,-0.0008061108076318117,-0.0016660520162770026,-0.0024721628239088144
09-Jul-1951,-0.0008163135676897,-0.0017053550629809225,-0.0025216686306706224
10-Jul-1951,-0.000826287036300324,-0.0017445189910338626,-0.0025708060273341867
11-Jul-1951,-0.000836028344798367,-0.0017835259304675387,-0.0026195542752659056
12-Jul-1951,-0.0008455346935231569,-0.0018223582763845108,-0.002667892969907668
13-Jul-1951,-0.0008548033526562425,-0.0018609986845495325,-0.002715802037205775
14-Jul-1951,-0.000863831663022523,-0.0018994300674228114,-0.0027632617304453344
15-Jul-1951,-0.0008726170368849026,-0.0019376355906079129,-0.0028102526274928156
16-Jul-1951,-0.0008811569587081342,-0.0019755986696820002,-0.0028567556283901345
17-Jul-1951,-0.000889448985901755,-0.002013302967381417,-0.002902751953283172
18-Jul-1951,-0.0008974907495498991,-0.0020507323911194237,-0.002948223140669323
19-Jul-1951,-0.0009052799551064644,-0.002087871090808293,-0.0029931510459147576
20-Jul-1951,-0.000912814383081621,-0.0021247034569679387,-0.0030375178400495594
21-Jul-1951,-0.0009200918896931812,-0.002161214119095737,-0.003081306008788918
22-Jul-1951,-0.0009271104075078826,-0.0021973879442828475,-0.00312449835179073
23-Jul-1951,-0.0009338679460482292,-0.0022332100360543837,-0.0031670779821026127
24-Jul-1951,-0.0009403625923878817,-0.0022686657334204624,-0.003209028325808344
25-Jul-1951,-0.000946592511713115,-0.0023037406101188668,-0.003250333121831982
26-Jul-1951,-0.0009525559478711402,-0.0023384204740369225,-0.0032909764219080625
