dates,Upper Aquifer,Corcoran Clay,Lower Aquifer,Total
14-May-1951,0.0,0.0,0.0,0.0
15-May-1951,-2.9655287861123718e-05,-1.2323786287439552e-06,-0.0003673043193601321,-0.0003981919858499998
16-May-1951,-6.263642683062284e-05,-3.97072296633882e-05,-0.00080290384431773,-0.000905247500811741
17-May-1951,-9.657669182223842e-05,-7.485199123007346e-05,-0.0012579693410870547,-0.0014293980241393666
18-May-1951,-0.00013140823707917157,-0.00011025059210657704,-0.0017322309048958037,-0.0019738897340815524
19-May-1951,-0.0001670650405092619,-0.00014588299589769825,-0.0022249584268116546,-0.002537906463218615
20-May-1951,-0.00020348534249964908,-0.00018172740225453756,-0.0027354520369944697,-0.0031206647817486563
21-May-1951,-0.00024061126628999264,-0.00021776282037706682,-0.00326304171315937,-0.0037214157998264295
22-May-1951,-0.0002783884631082399,-0.0002539691007577179,-0.003807084679710503,-0.004339442243576461
23-May-1951,-0.0003167657925312393,-0.0002903268647547828,-0.004366963040240523,-0.004974055697526545
24-May-1951,-0.0003556950345411134,-0.0003268174380850228,-0.004942081633104092,-0.0056245941057302285
25-May-1951,-0.0003951306299258216,-0.0003634227909072314,-0.005531866087120144,-0.006290419507953197
26-May-1951,-0.0004350294462234492,-0.00040012548402903244,-0.006135761059245249,-0.006970915989497731
27-May-1951,-0.00047535056653454105,-0.0004369086205327763,-0.006753228635696814,-0.0076654878227641315
28-May-1951,-0.0005160550989138687,-0.0004737558023011949,-0.0073837468812744216,-0.008373557782489485
29-May-1951,-0.0005571060042985302,-0.0005106510909805996,-0.008026808523177173,-0.009094565618456302
30-May-1951,-0.0005984679410321763,-0.0005475789728508388,-0.008681919755581708,-0.009827966669464724
31-May-1951,-0.0006401071244205365,-0.0005845243273122007,-0.009348599154868078,-0.010573230606600814
01-Jun-1951,-0.0006819911997248343,-0.0006214723985218388,-0.010026376693881265,-0.011329840292127937
02-Jun-1951,-0.0007240891273577492,-0.0006584087699718557,-0.010714792847297205,-0.01209729074462681
03-Jun-1951,-0.000766371078982167,-0.0006953193416122375,-0.01141339777842382,-0.012875088199018225
04-Jun-1951,-0.0008088083435380206,-0.000732190309371722,-0.012121750601223244,-0.013662749254132986
05-Jun-1951,-0.0008513732421318324,-0.0007690081467377448,-0.0128394187094716,-0.014459800098341177
06-Jun-1951,-0.000894039051021845,-0.0008057595882967671,-0.01356597716820277,-0.015265775807521382
07-Jun-1951,-0.0009367799318212623,-0.0008424316149414017,-0.014301008160633184,-0.01608021970739585
08-Jun-1951,-0.0009795708683147883,-0.0008790114406816517,-0.015044100486769657,-0.016902682795766098
