dates,Interconnected Matrix,total_10.00 clays,total
14-May-1951,0.0,0.0,0.0
15-May-1951,-0.00010320073450555497,-0.0002797332138312698,-0.0003829339483368248
16-May-1951,-0.00020641300985506576,-0.0006317926264260598,-0.0008382056362811256
17-May-1951,-0.00030960652681242406,-0.0010044915188361914,-0.0013140980456486154
18-May-1951,-0.0004127509906738621,-0.0013975762323809736,-0.0018103272230548357
19-May-1951,-0.0005158161201585792,-0.001810305654150618,-0.002326121774309197
20-May-1951,-0.0006187716564680391,-0.002241970675173612,-0.002860742331641651
21-May-1951,-0.0007215873721660733,-0.0026918937664233734,-0.0034134811385894467
22-May-1951,-0.0008242330802220606,-0.00315942621454206,-0.003983659294764121
23-May-1951,-0.0009266786428699826,-0.0036439456049410348,-0.004570624247811017
24-May-1951,-0.0010288939806247937,-0.004144853540999688,-0.005173747521624482
25-May-1951,-0.0011308490811098174,-0.004661573575419611,-0.005792422656529428
26-May-1951,-0.0012325140080250937,-0.005193549334164648,-0.006426063342189741
27-May-1951,-0.0013338589099858445,-0.005740242813666585,-0.00707410172365243
28-May-1951,-0.0014348540293364583,-0.0063011328350016885,-0.0077359868643381464
29-May-1951,-0.0015354697110424296,-0.006875713640437644,-0.008411183351480073
30-May-1951,-0.0016356764113932578,-0.007463493618092663,-0.00909917002948592
31-May-1951,-0.0017354447068411419,-0.008063994143633,-0.009799438850474141
01-Jun-1951,-0.0018347453026358834,-0.00867674852708287,-0.010511493829718754
02-Jun-1951,-0.0019335490415890975,-0.009301301055982095,-0.011234850097571194
03-Jun-1951,-0.0020318269126309877,-0.009937206125021372,-0.01196903303765236
04-Jun-1951,-0.002129550059489656,-0.010584027445216818,-0.012713577504706473
05-Jun-1951,-0.0022266897891595767,-0.011241337324409705,-0.013468027113569281
06-Jun-1951,-0.002323217580485758,-0.01190871601361914,-0.014231933594104898
07-Jun-1951,-0.0024191050925338117,-0.012585751112369589,-0.0150048562049034
08-Jun-1951,-0.0025143241730589813,-0.013272037028672426,-0.015786361201731408
09-Jun-1951,-0.002608846866817493,-0.013967174488079192,-0.016576021354896685
