dates,Upper Aquifer,Corcoran Clay,Lower Aquifer,Total
14-May-1951,0.0,0.0,0.0,0.0
15-May-1951,-4.286737667718042e-05,-1.3503230096113023e-06,-0.0003829339483368248,-0.0004271516480236165
16-May-1951,-9.24754891507239e-05,-4.189569185053315e-05,-0.0008382056362811256,-0.0009725768172823827
17-May-1951,-0.00014400646356896193,-7.92362202492047e-05,-0.0013140980456486154,-0.001537340729466782
18-May-1951,-0.00019743195595605536,-0.00011672437238394084,-0.0018103272230548357,-0.002124483551394832
19-May-1951,-0.00025267826313617967,-0.0001544490577060284,-0.002326121774309197,-0.002733249095151405
20-May-1951,-0.0003096746509269876,-0.000192391387881737,-0.002860742331641651,-0.003362808370450376
21-May-1951,-0.00036835333105637185,-0.00023052977998199115,-0.0034134811385894467,-0.00401236424962781
22-May-1951,-0.0004286492041213458,-0.00026884338008332625,-0.003983659294764121,-0.004681151878968793
23-May-1951,-0.000490499626777579,-0.0003073121056372894,-0.004570624247811017,-0.005368435980225885
24-May-1951,-0.0005538442009305601,-0.0003459165825016327,-0.005173747521624482,-0.006073508305056674
25-May-1951,-0.0006186245826398132,-0.0003846380849528812,-0.005792422656529428,-0.0067956853241221225
26-May-1951,-0.0006847843089671543,-0.00042345848173910947,-0.006426063342189741,-0.007534306132896004
27-May-1951,-0.0007522686409279372,-0.00046236018757628907,-0.00707410172365243,-0.008288730552156657
28-May-1951,-0.0008210244210453057,-0.0005013261195720208,-0.0077359868643381464,-0.009058337404955473
29-May-1951,-0.0008909999441660682,-0.0005403396581145508,-0.008411183351480073,-0.009842522953760693
30-May-1951,-0.0009621448401671573,-0.00057938461168792,-0.00909917002948592,-0.010640699481340998
31-May-1951,-0.0010344099675748857,-0.0006184451853280971,-0.009799438850474141,-0.011452294003377123
01-Jun-1951,-0.0011077473169333878,-0.0006575059522439504,-0.010511493829718754,-0.012276747098896092
02-Jun-1951,-0.00118210992315834,-0.000696551828399657,-0.011234850097571194,-0.01311351184912919
03-Jun-1951,-0.0012574517859053108,-0.0007355680496540757,-0.01196903303765236,-0.013962052873211747
04-Jun-1951,-0.0013337277973583187,-0.0007745401513149436,-0.012713577504706473,-0.014821845453379735
05-Jun-1951,-0.0014108936766218491,-0.0008134539497612212,-0.013468027113569281,-0.01569237473995235
06-Jun-1951,-0.001488905910259249,-0.0008522955260399318,-0.014231933594104898,-0.016573135030404078
07-Jun-1951,-0.0015677216982838283,-0.0008910512111370179,-0.0150048562049034,-0.017463629114324246
08-Jun-1951,-0.0016472989052518225,-0.0009297075728637945,-0.015786361201731408,-0.018363367679847024
09-Jun-1951,-0.0017275960158953485,-0.0009682514041199223,-0.016576021354896685,-0.019271868774911955
