dates,Interconnected Matrix,total_5.00 clays,total
14-May-1951,0.0,0.0,0.0
15-May-1951,-1.6817995049583913e-05,-2.6049381627596512e-05,-4.286737667718042e-05
16-May-1951,-3.363916921251231e-05,-5.883631993821159e-05,-9.24754891507239e-05
17-May-1951,-5.04586128903545e-05,-9.354785067860745e-05,-0.00014400646356896193
18-May-1951,-6.727141721906519e-05,-0.00013016053873699017,-0.00019743195595605536
19-May-1951,-8.40726755096226e-05,-0.0001686055876265571,-0.00025267826313617967
20-May-1951,-0.00010085748471597852,-0.0002088171662110091,-0.0003096746509269876
21-May-1951,-0.00011762094687392383,-0.00025073238418244805,-0.00036835333105637185
22-May-1951,-0.00013435817056647805,-0.0002942910335548678,-0.0004286492041213458
23-May-1951,-0.00015106427235931342,-0.0003394353544182656,-0.000490499626777579
24-May-1951,-0.00016773437826182223,-0.0003861098226687379,-0.0005538442009305601
25-May-1951,-0.00018436362515738714,-0.00043426095748242603,-0.0006186245826398132
26-May-1951,-0.00020094716225666295,-0.0004838371467104914,-0.0006847843089671543
27-May-1951,-0.00021748015252973443,-0.0005347884883982028,-0.0007522686409279372
28-May-1951,-0.00023395777413423628,-0.0005870666469110693,-0.0008210244210453057
29-May-1951,-0.00025037522185625375,-0.0006406247223098145,-0.0008909999441660682
30-May-1951,-0.0002667277085204644,-0.0006954171316466929,-0.0009621448401671573
31-May-1951,-0.0002830104664223723,-0.0007513995011525134,-0.0010344099675748857
01-Jun-1951,-0.00029921874872745283,-0.000808528568205935,-0.0011077473169333878
02-Jun-1951,-0.00031534783089129007,-0.0008667620922670498,-0.00118210992315834
03-Jun-1951,-0.0003313930120460885,-0.0009260587738592224,-0.0012574517859053108
04-Jun-1951,-0.00034734961640706146,-0.0009863781809512572,-0.0013337277973583187
05-Jun-1951,-0.00036321299464459744,-0.0010476806819772516,-0.0014108936766218491
06-Jun-1951,-0.00037897852527525816,-0.0011099273849839908,-0.001488905910259249
07-Jun-1951,-0.0003946416160180071,-0.0011730800822658213,-0.0015677216982838283
08-Jun-1951,-0.00041019770516651253,-0.0012371012000853099,-0.0016472989052518225
09-Jun-1951,-0.00042564226293590585,-0.0013019537529594426,-0.0017275960158953485
10-Jun-1951,-0.00044097079280030945,-0.001367601302139094,-0.0018085720949394036
11-Jun-1951,-0.0004561788328364163,-0.0014340079179408032,-0.0018901867507772196
12-Jun-1951,-0.00047126195703295636,-0.0015011381455325907,-0.0019724001025655472
13-Jun-1951,-0.0004862157766148532,-0.0015689569739577194,-0.0020551727505725725
14-Jun-1951,-0.0005010359413311505,-0.001637429808035721,-0.0021384657493668715
15-Jun-1951,-0.0005157181407565237,-0.0017065224429816137,-0.002222240583738137
16-Jun-1951,-0.0005302581055562599,-0.0017762010414299888,-0.002306459146986249
17-Jun-1951,-0.0005446516087635326,-0.001846432112747567,-0.0023910837215110996
18-Jun-1951,-0.0005588944670198595,-0.0019171824943597453,-0.002476076961379605
19-Jun-1951,-0.0005729825418252348,-0.001988419335007411,-0.002561401876832646
20-Jun-1951,-0.0005869117407598759,-0.0020601100797100953,-0.0026470218204699713
21-Jun-1951,-0.000600678018692692,-0.0021322224563239504,-0.0027329004750166423
22-Jun-1951,-0.0006142773789899499,-0.0022047244635894424,-0.0028190018425793923
23-Jun-1951,-0.0006277058746881628,-0.0022775843604885605,-0.002905290235176723
24-Jun-1951,-0.0006409596096749523,-0.0023507706568820647,-0.002991730266557017
25-Jun-1951,-0.0006540347398324201,-0.0024242521052493565,-0.0030782868450817766
26-Jun-1951,-0.0006669274741872062,-0.0024979976935186905,-0.0031649251677058968
27-Jun-1951,-0.0006796340760230376,-0.00257197663882907,-0.0032516107148521075
28-Jun-1951,-0.0006921508639986096,-0.002646158382222974,-0.0033383092462215837
29-Jun-1951,-0.0007044742132280074,-0.0027205125841272223,-0.0034249867973552297
30-Jun-1951,-0.000716600556365148,-0.0027950091206304538,-0.0035116096769956017
01-Jul-1951,-0.000728526384650697,-0.0028696180804272486,-0.0035981444650779455
02-Jul-1951,-0.0007402482489605636,-0.002944309762442766,-0.0036845580114033298
03-Jul-1951,-0.0007517627608241541,-0.003019054674034912,-0.003770817434859066
04-Jul-1951,-0.0007630665934249461,-0.0030938235297482894,-0.0038568901231732355
05-Jul-1951,-0.0007741564825945794,-0.003168587250599542,-0.003942743733194121
06-Jul-1951,-0.0007850292277707456,-0.0032433169638031675,-0.004028346191573913
07-Jul-1951,-0.0007956816929547475,-0.0033179840029639003,-0.004113665695918648
08-Jul-1951,-0.0008061108076318117,-0.003392559908639214,-0.004198670716271026
09-Jul-1951,-0.0008163135676897,-0.003467016429303539,-0.0042833299969932395
10-Jul-1951,-0.000826287036300324,-0.0035413255226228076,-0.004367612558923132
11-Jul-1951,-0.000836028344798367,-0.0036154593570746083,-0.004451487701872975
12-Jul-1951,-0.0008455346935231569,-0.0036893903138283356,-0.004534925007351492
13-Jul-1951,-0.0008548033526562425,-0.0037630909889210516,-0.004617894341577294
14-Jul-1951,-0.000863831663022523,-0.003836534195651546,-0.004700365858674069
15-Jul-1951,-0.0008726170368849026,-0.003909692967223857,-0.004782310004108759
16-Jul-1951,-0.0008811569587081342,-0.003982540559581353,-0.004863697518289487
17-Jul-1951,-0.000889448985901755,-0.004055050454430489,-0.004944499440332244
18-Jul-1951,-0.0008974907495498991,-0.004127196362451478,-0.005024687112001377
19-Jul-1951,-0.0009052799551064644,-0.004198952226644688,-0.0051042321817511525
20-Jul-1951,-0.000912814383081621,-0.004270292225842869,-0.00518310660892449
21-Jul-1951,-0.0009200918896931812,-0.004341190778329881,-0.005261282668023063
22-Jul-1951,-0.0009271104075078826,-0.004411622545598388,-0.005338732953106271
23-Jul-1951,-0.0009338679460482292,-0.004481562436191361,-0.00541543038223959
24-Jul-1951,-0.0009403625923878817,-0.004550985609656682,-0.005491348202044564
25-Jul-1951,-0.000946592511713115,-0.004619867480565926,-0.005566459992279041
26-Jul-1951,-0.0009525559478711402,-0.004688183722623838,-0.005640739670494978
27-Jul-1951,-0.0009582512238883669,-0.004755910272828796,-0.005714161496717163
