dates,Interconnected Matrix,total_10.00 clays,total
14-May-1951,0.0,0.0,0.0
15-May-1951,-0.00010320073450555497,-1.5927626088188518e-05,-0.00011912836059374349
16-May-1951,-0.00020641300985506576,-4.3430961614699045e-05,-0.0002498439714697648
17-May-1951,-0.00030960652681242406,-7.876973560676812e-05,-0.0003883762624191922
18-May-1951,-0.0004127509906738621,-0.00012047438099336781,-0.0005332253716672299
19-May-1951,-0.0005158161201585792,-0.00016767803038937785,-0.000683494150547957
20-May-1951,-0.0006187716564680391,-0.00021978683919306928,-0.0008385584956611084
21-May-1951,-0.0007215873721660733,-0.00027635840612791633,-0.0009979457782939897
22-May-1951,-0.0008242330802220606,-0.0003370446098148924,-0.001161277690036953
23-May-1951,-0.0009266786428699826,-0.0004015606400191682,-0.0013282392828891508
24-May-1951,-0.0010288939806247937,-0.00046966655192887965,-0.0014985605325536734
25-May-1951,-0.0011308490811098174,-0.0005411555014483684,-0.0016720045825581857
26-May-1951,-0.0012325140080250937,-0.0006158458419434486,-0.0018483598499685423
27-May-1951,-0.0013338589099858445,-0.00069357559393994,-0.0020274345039257846
28-May-1951,-0.0014348540293364583,-0.0007741984457275758,-0.002209052475064034
29-May-1951,-0.0015354697110424296,-0.0008575807815121748,-0.0023930504925546046
30-May-1951,-0.0016356764113932578,-0.000943599422275315,-0.0025792758336685728
31-May-1951,-0.0017354447068411419,-0.0010321398749286467,-0.0027675845817697886
01-Jun-1951,-0.0018347453026358834,-0.001123094952657687,-0.0029578402552935703
02-Jun-1951,-0.0019335490415890975,-0.0012163636720169918,-0.0031499127136060895
03-Jun-1951,-0.0020318269126309877,-0.0013118503600742805,-0.0033436772727052683
04-Jun-1951,-0.002129550059489656,-0.0014094639235773287,-0.0035390139830669843
05-Jun-1951,-0.0022266897891595767,-0.0015091172448328635,-0.00373580703399244
06-Jun-1951,-0.002323217580485758,-0.001610726677987628,-0.003933944258473386
07-Jun-1951,-0.0024191050925338117,-0.001714211625729112,-0.004133316718262924
08-Jun-1951,-0.0025143241730589813,-0.0018194941811089968,-0.004333818354167978
09-Jun-1951,-0.002608846866817493,-0.001926498822560693,-0.004535345689378186
10-Jun-1951,-0.0027026454238210274,-0.0020351521527499717,-0.0047377975765709995
11-Jun-1951,-0.002795692307628679,-0.0021453826738429826,-0.004941074981471661
12-Jun-1951,-0.0028879602034280376,-0.002257120593208194,-0.005145080796636232
13-Jun-1951,-0.0029794220262071166,-0.0023702976547646214,-0.005349719680971738
14-Jun-1951,-0.0030700509287029092,-0.0024848469920275133,-0.005554897920730422
15-Jun-1951,-0.0031598203094334704,-0.0026007029996593153,-0.005760523309092786
16-Jun-1951,-0.0032487038205045496,-0.002717801220841869,-0.005966505041346418
17-Jun-1951,-0.0033366753754922414,-0.0028360782482866444,-0.006172753623778886
18-Jun-1951,-0.0034237091570985347,-0.002955471637011663,-0.006379180794110198
19-Jun-1951,-0.003509779624866233,-0.003075919827358157,-0.00658569945222439
20-Jun-1951,-0.003594861522719025,-0.0031973620769217646,-0.00679222359964079
21-Jun-1951,-0.003678929886419232,-0.003319738400288714,-0.006998668286707946
22-Jun-1951,-0.0037619600510272306,-0.003442989515647355,-0.007204949566674586
23-Jun-1951,-0.0038439276581398664,-0.003567056797442888,-0.0074109844555827545
24-Jun-1951,-0.00392480866317788,-0.003691882234405604,-0.007616690897583484
25-Jun-1951,-0.004004579342442227,-0.0038174083923310795,-0.007821987734773307
26-Jun-1951,-0.004083216300211594,-0.003943578381118154,-0.008026794681329748
27-Jun-1951,-0.004160696475608342,-0.004070335825592903,-0.008231032301201244
28-Jun-1951,-0.004236997149497688,-0.00419762483975007,-0.008434621989247758
29-Jun-1951,-0.004312095951155093,-0.004325390004047967,-0.00863748595520306
30-Jun-1951,-0.004385970864958998,-0.004453576345478816,-0.008839547210437813
01-Jul-1951,-0.004458600236851742,-0.004582129320129388,-0.00904072955698113
02-Jul-1951,-0.004529962780810441,-0.004710994798018714,-0.009240957578829156
03-Jul-1951,-0.004600037585130826,-0.004840119049992933,-0.009440156635123759
04-Jul-1951,-0.004668804118602403,-0.004969448736494355,-0.009638252855096757
05-Jul-1951,-0.0047362422366432145,-0.005098930898053659,-0.009835173134696874
06-Jul-1951,-0.004802332187211641,-0.005228512947339575,-0.010030845134551216
07-Jul-1951,-0.004867054616715734,-0.005358142662654034,-0.010225197279369769
08-Jul-1951,-0.0049303905756928725,-0.005487768182735365,-0.010418158758428237
09-Jul-1951,-0.004992321524478935,-0.005617338002780792,-0.010609659527259726
10-Jul-1951,-0.00505282933864916,-0.005746800971572997,-0.010799630310222158
11-Jul-1951,-0.005111896314440465,-0.005876106289640131,-0.010988002604080596
12-Jul-1951,-0.005169505173946975,-0.006005203508351301,-0.011174708682298275
13-Jul-1951,-0.005225639070289122,-0.0061340425298908,-0.011359681600179923
14-Jul-1951,-0.005280281592557659,-0.006262573608026922,-0.011542855200584581
15-Jul-1951,-0.005333416770717979,-0.00639074734962846,-0.01172416412034644
16-Jul-1951,-0.005385029080324042,-0.006518514716861178,-0.01190354379718522
17-Jul-1951,-0.005435103447103233,-0.00664582703001188,-0.012080930477115113
18-Jul-1951,-0.005483625251460405,-0.006772635970900466,-0.01225626122236087
19-Jul-1951,-0.005530580332768282,-0.006898893586820162,-0.012429473919588443
20-Jul-1951,-0.005575954993603945,-0.007024552294978069,-0.012600507288582013
21-Jul-1951,-0.005619736003768619,-0.007149564887382803,-0.012769300891151423
22-Jul-1951,-0.005661910604245781,-0.00727388453615555,-0.012935795140401331
