dates,Upper Aquifer,Corcoran Clay,Lower Aquifer,Total
14-May-1951,0.0,0.0,0.0,0.0
15-May-1951,-1.8301211163646186e-05,8.224342856646561e-06,-0.00011912836059374349,-0.0001292052289007431
16-May-1951,-3.76836718630178e-05,1.6039334881383573e-05,-0.0002498439714697648,-0.00027148830845139904
17-May-1951,-5.7794255796810995e-05,2.3469638198590392e-05,-0.0003883762624191922,-0.0004227008800174128
18-May-1951,-7.849126535107433e-05,3.0537968522508825e-05,-0.0005332253716672299,-0.0005811786684957954
19-May-1951,-9.968912053178762e-05,3.726527629016814e-05,-0.000683494150547957,-0.0007459179947895765
20-May-1951,-0.00012132766430459453,4.367090974056894e-05,-0.0008385584956611084,-0.000916215250225134
21-May-1951,-0.00014336084409256338,4.977276182895639e-05,-0.0009979457782939897,-0.0010915338605575968
22-May-1951,-0.0001657513906593084,5.5587402652654696e-05,-0.001161277690036953,-0.0012714416780436066
23-May-1951,-0.00018846793430288706,6.113019889257002e-05,-0.0013282392828891508,-0.0014555770182994678
24-May-1951,-0.0002114832836722488,6.641542160474399e-05,-0.0014985605325536734,-0.0016436283946211782
25-May-1951,-0.00023477332216539736,7.14563435617495e-05,-0.0016720045825581857,-0.0018353215611618336
26-May-1951,-0.0002583162599427958,7.626532720769662e-05,-0.0018483598499685423,-0.0020304107827036413
27-May-1951,-0.00028209210462699404,8.085390418465844e-05,-0.0020274345039257846,-0.0022286727043681204
28-May-1951,-0.0003060822743826086,8.523284728257868e-05,-0.002209052475064034,-0.002429901902164064
29-May-1951,-0.0003302693083144818,8.941223557459746e-05,-0.0023930504925546046,-0.0026339075652944887
30-May-1951,-0.0003546366460209601,9.340151342422782e-05,-0.0025792758336685728,-0.002840510966265305
31-May-1951,-0.00037916845790225305,9.720954397177683e-05,-0.0027675845817697886,-0.0030495434957002647
01-Jun-1951,-0.0004038495134880194,0.00010084465765198746,-0.0029578402552935703,-0.003260845111129602
02-Jun-1951,-0.00042866507879536905,0.00010431469622946116,-0.0031499127136060895,-0.0034742630961719975
03-Jun-1951,-0.00045360083601258736,0.00010762705279609576,-0.0033436772727052683,-0.00368965105592176
04-Jun-1951,-0.0004786428205716586,0.00011078870812097544,-0.0035390139830669843,-0.0039068680955176675
05-Jun-1951,-0.0005037773717439892,0.00011380626371103566,-0.00373580703399244,-0.004125778142025393
06-Jun-1951,-0.0005289910938783444,0.00011668597189628688,-0.003933944258473386,-0.004346249380455443
07-Jun-1951,-0.000554270825944365,0.00011943376322931007,-0.004133316718262924,-0.004568153780977979
08-Jun-1951,-0.000579603617655578,0.00012205527145170833,-0.004333818354167978,-0.004791366700371847
09-Jun-1951,-0.0006049767107358518,0.00012455585626145013,-0.004535345689378186,-0.005015766543852588
10-Jun-1951,-0.0006303775242532277,0.00012694062408747105,-0.0047377975765709995,-0.005241234476736756
11-Jun-1951,-0.0006557936431798898,0.00012921444705710363,-0.004941074981471661,-0.005467654177594447
12-Jun-1951,-0.0006812128094610235,0.00013138198032776525,-0.005145080796636232,-0.00569491162576949
13-Jun-1951,-0.000706622915113046,0.00013344767793067213,-0.005349719680971738,-0.005922894918154112
14-Jun-1951,-0.0007320119968799426,0.00013541580726723307,-0.005554897920730422,-0.006151494110343132
15-Jun-1951,-0.0007573682321708572,0.0001372904623775223,-0.005760523309092786,-0.006380601078886121
16-Jun-1951,-0.0007826799359671074,0.00013907557609601462,-0.005966505041346418,-0.006610109401217511
17-Jun-1951,-0.0008079355585454277,0.0001407749311912383,-0.006172753623778886,-0.006839914251133075
