dates,Interconnected Matrix,total_10.00 clays,total
14-May-1951,0.0,0.0,0.0
15-May-1951,-0.00010320073450555497,-0.0005868051609608983,-0.0006900058954664532
16-May-1951,-0.00020641300985506576,-0.0013057367977268625,-0.0015121498075819282
17-May-1951,-0.00030960652681242406,-0.002045284861754458,-0.002354891388566882
18-May-1951,-0.0004127509906738621,-0.0028060460011483527,-0.003218796991822215
19-May-1951,-0.0005158161201585792,-0.0035874778425280347,-0.004103293962686614
20-May-1951,-0.0006187716564680391,-0.004389036488822038,-0.005007808145290078
21-May-1951,-0.0007215873721660733,-0.005210182023276227,-0.0059317693954423
22-May-1951,-0.0008242330802220606,-0.006050378307293761,-0.006874611387515822
23-May-1951,-0.0009266786428699826,-0.006909092764363612,-0.007835771407233594
24-May-1951,-0.0010288939806247937,-0.007785796180421282,-0.008814690161046076
25-May-1951,-0.0011308490811098174,-0.00867996251778975,-0.009810811598899568
26-May-1951,-0.0012325140080250937,-0.009591068744212668,-0.010823582752237762
27-May-1951,-0.0013338589099858445,-0.01051859467455338,-0.011852453584539223
28-May-1951,-0.0014348540293364583,-0.011462022825243192,-0.01289687685457965
29-May-1951,-0.0015354697110424296,-0.012420838281591544,-0.013956307992633973
30-May-1951,-0.0016356764113932578,-0.013394528575629812,-0.01503020498702307
31-May-1951,-0.0017354447068411419,-0.014382583576125478,-0.01611802828296662
01-Jun-1951,-0.0018347453026358834,-0.015384495388014082,-0.017219240690649965
02-Jun-1951,-0.0019335490415890975,-0.016399758262984447,-0.018333307304573544
03-Jun-1951,-0.0020318269126309877,-0.01742786851853276,-0.01945969543116375
04-Jun-1951,-0.002129550059489656,-0.018468324467245008,-0.020597874526734665
05-Jun-1951,-0.0022266897891595767,-0.019520626353679578,-0.021747316142839153
06-Jun-1951,-0.002323217580485758,-0.0205842763006365,-0.02290749388112226
07-Jun-1951,-0.0024191050925338117,-0.02165877826224034,-0.024077883354774152
08-Jun-1951,-0.0025143241730589813,-0.02274363798556802,-0.025257962158627002
09-Jun-1951,-0.002608846866817493,-0.02383836297877441,-0.026447209845591905
10-Jun-1951,-0.0027026454238210274,-0.024942462486060295,-0.02764510790988132
11-Jun-1951,-0.002795692307628679,-0.026055447469801284,-0.028851139777429962
12-Jun-1951,-0.0028879602034280376,-0.027176830597894202,-0.03006479080132224
13-Jun-1951,-0.0029794220262071166,-0.02830612623804305,-0.03128554826425017
14-Jun-1951,-0.0030700509287029092,-0.02944285045662559,-0.0325129013853285
15-Jun-1951,-0.0031598203094334704,-0.030586521023924517,-0.033746341333357986
16-Jun-1951,-0.0032487038205045496,-0.03173665742342109,-0.03498536124392564
17-Jun-1951,-0.0033366753754922414,-0.032892780866921746,-0.036229456242413985
