dates,Interconnected Matrix,total_5.00 clays,total
14-May-1951,0.0,0.0,0.0
15-May-1951,-1.6817995049583913e-05,-5.464460715822539e-05,-7.146260220780931e-05
16-May-1951,-3.363916921251231e-05,-0.00012159813711355754,-0.00015523730632606983
17-May-1951,-5.04586128903545e-05,-0.00019047681424468982,-0.0002409354271350443
18-May-1951,-6.727141721906519e-05,-0.0002613364237199372,-0.0003286078409390024
19-May-1951,-8.40726755096226e-05,-0.0003341267549603378,-0.0004181994304699604
20-May-1951,-0.00010085748471597852,-0.000408797427018675,-0.0005096549117346535
21-May-1951,-0.00011762094687392383,-0.0004852984331946604,-0.0006029193800685842
22-May-1951,-0.00013435817056647805,-0.0005635801194847595,-0.0006979382900512375
23-May-1951,-0.00015106427235931342,-0.0006435931644311278,-0.0007946574367904412
24-May-1951,-0.00016773437826182223,-0.0007252885605141638,-0.000893022938775986
25-May-1951,-0.00018436362515738714,-0.0008086175968047168,-0.000992981221962104
26-May-1951,-0.00020094716225666295,-0.0008935318430225807,-0.0010944790052792436
27-May-1951,-0.00021748015252973443,-0.000979983134770546,-0.0011974632873002805
28-May-1951,-0.00023395777413423628,-0.0010679235599548097,-0.0013018813340890459
29-May-1951,-0.00025037522185625375,-0.0011573054464023413,-0.001407680668258595
30-May-1951,-0.0002667277085204644,-0.0012480813504549479,-0.0015148090589754122
31-May-1951,-0.0002830104664223723,-0.0013402040466974669,-0.0016232145131198391
01-Jun-1951,-0.00029921874872745283,-0.0014336265185612468,-0.0017328452672886996
02-Jun-1951,-0.00031534783089129007,-0.0015283019499632237,-0.0018436497808545138
03-Jun-1951,-0.0003313930120460885,-0.001624183717734015,-0.0019555767297801036
04-Jun-1951,-0.00034734961640706146,-0.0017212253849958874,-0.002068575001402949
05-Jun-1951,-0.00036321299464459744,-0.0018193806952482648,-0.002182593689892862
06-Jun-1951,-0.00037897852527525816,-0.0019186035673251882,-0.0022975820926004462
07-Jun-1951,-0.0003946416160180071,-0.002018848090987523,-0.00241348970700553
08-Jun-1951,-0.00041019770516651253,-0.00212006852330781,-0.0025302662284743226
09-Jun-1951,-0.00042564226293590585,-0.002222219285660921,-0.0026478615485968264
10-Jun-1951,-0.00044097079280030945,-0.0023252549613504165,-0.002766225754150726
11-Jun-1951,-0.0004561788328364163,-0.00242913029389928,-0.0028853091267356966
12-Jun-1951,-0.00047126195703295636,-0.002533800185829096,-0.0030050621428620527
13-Jun-1951,-0.0004862157766148532,-0.002639219698080494,-0.003125435474695347
14-Jun-1951,-0.0005010359413311505,-0.002745344049863009,-0.0032463799911941595
15-Jun-1951,-0.0005157181407565237,-0.0028521286190931433,-0.003367846759849667
16-Jun-1951,-0.0005302581055562599,-0.002959528943214336,-0.003489787048770596
17-Jun-1951,-0.0005446516087635326,-0.0030675007205556507,-0.0036121523293191835
18-Jun-1951,-0.0005588944670198595,-0.0031759998120265685,-0.003734894279046428
19-Jun-1951,-0.0005729825418252348,-0.0032849822433023233,-0.003857964785127558
20-Jun-1951,-0.0005869117407598759,-0.0033944042073353695,-0.003981315948095246
21-Jun-1951,-0.000600678018692692,-0.003504222067234867,-0.004104900085927559
22-Jun-1951,-0.0006142773789899499,-0.0036143923595440518,-0.004228669738534001
23-Jun-1951,-0.0006277058746881628,-0.0037248717977651988,-0.004352577672453362
24-Jun-1951,-0.0006409596096749523,-0.003835617276279457,-0.004476576885954409
25-Jun-1951,-0.0006540347398324201,-0.003946585874475359,-0.00460062061430778
26-Jun-1951,-0.0006669274741872062,-0.004057734861238787,-0.0047246623354259935
27-Jun-1951,-0.0006796340760230376,-0.004169021699620368,-0.004848655775643406
28-Jun-1951,-0.0006921508639986096,-0.004280404051830585,-0.004972554915829194
29-Jun-1951,-0.0007044742132280074,-0.0043918397843886086,-0.005096313997616616
30-Jun-1951,-0.000716600556365148,-0.00450328697356544,-0.005219887529930588
01-Jul-1951,-0.000728526384650697,-0.004614703910955703,-0.0053432302956064
02-Jul-1951,-0.0007402482489605636,-0.00472604910931108,-0.005466297358271643
03-Jul-1951,-0.0007517627608241541,-0.004837281308508198,-0.005589044069332352
04-Jul-1951,-0.0007630665934249461,-0.004948359481681291,-0.005711426075106237
05-Jul-1951,-0.0007741564825945794,-0.005059242841556559,-0.005833399324151139
06-Jul-1951,-0.0007850292277707456,-0.005169890846864545,-0.005954920074635291
07-Jul-1951,-0.0007956816929547475,-0.005280263208954942,-0.00607594490190969
08-Jul-1951,-0.0008061108076318117,-0.005390319898466483,-0.006196430706098295
09-Jul-1951,-0.0008163135676897,-0.005500021152174901,-0.006316334719864601
10-Jul-1951,-0.000826287036300324,-0.005609327479881412,-0.006435614516181736
11-Jul-1951,-0.000836028344798367,-0.005718199671455948,-0.006554228016254315
12-Jul-1951,-0.0008455346935231569,-0.005826598803902506,-0.0066721334974256625
13-Jul-1951,-0.0008548033526562425,-0.005934486248563334,-0.006789289601219576
14-Jul-1951,-0.000863831663022523,-0.006041823678326315,-0.006905655341348838
15-Jul-1951,-0.0008726170368849026,-0.006148573074948718,-0.0070211901118336206
16-Jul-1951,-0.0008811569587081342,-0.006254696736394394,-0.007135853695102528
17-Jul-1951,-0.000889448985901755,-0.006360157284212964,-0.007249606270114719
18-Jul-1951,-0.0008974907495498991,-0.00646491767098854,-0.007362408420538438
19-Jul-1951,-0.0009052799551064644,-0.006568941187767001,-0.007474221142873465
20-Jul-1951,-0.000912814383081621,-0.006672191471552674,-0.0075850058546342945
21-Jul-1951,-0.0009200918896931812,-0.0067746325127712535,-0.007694724402464435
22-Jul-1951,-0.0009271104075078826,-0.006876228662785422,-0.0078033390702933044
23-Jul-1951,-0.0009338679460482292,-0.006976944641365352,-0.007910812587413581
24-Jul-1951,-0.0009403625923878817,-0.007076745544196737,-0.008017108136584619
25-Jul-1951,-0.000946592511713115,-0.007175596850333607,-0.008122189362046721
26-Jul-1951,-0.0009525559478711402,-0.007273464429672069,-0.008226020377543209
27-Jul-1951,-0.0009582512238883669,-0.007370314550372838,-0.008328565774261205
28-Jul-1951,-0.00096367674246583,-0.0074661138862555905,-0.00842979062872142
29-Jul-1951,-0.0009688309864563258,-0.007560829524179734,-0.00852966051063606
30-Jul-1951,-0.0009737125193096885,-0.007654428971351419,-0.008628141490661108
31-Jul-1951,-0.0009783199855026127,-0.007746880162617736,-0.008725200148120348
01-Aug-1951,-0.0009826521109363583,-0.00783815146767728,-0.008820803578613638
02-Aug-1951,-0.0009867077033180035,-0.00792821169826498,-0.008914919401582982
03-Aug-1951,-0.0009904856525103443,-0.008017030115247807,-0.009007515767758151
04-Aug-1951,-0.0009939849308639782,-0.008104576435679915,-0.009098561366543892
05-Aug-1951,-0.0009972045935189241,-0.008190820839763524,-0.009188025433282449
06-Aug-1951,-0.0010001437786872757,-0.008275733977758177,-0.009275877756445453
07-Aug-1951,-0.0010028017079061165,-0.008359286976788814,-0.00936208868469493
08-Aug-1951,-0.0010051776862702263,-0.008441451447588795,-0.009446629133859021
09-Aug-1951,-0.0010072711026370253,-0.008522199491144293,-0.009529470593781317
10-Aug-1951,-0.0010090814298072063,-0.00860150370524836,-0.009610585135055565
11-Aug-1951,-0.0010106082246822262,-0.008679337190966871,-0.009689945415649097
12-Aug-1951,-0.001011851128394369,-0.008755673558994828,-0.009767524687389197
13-Aug-1951,-0.0010128098664140554,-0.008830486935919295,-0.00984329680233335
14-Aug-1951,-0.0010134842486304355,-0.008903751970369505,-0.00991723621899994
15-Aug-1951,-0.001013874169408243,-0.008975443839060458,-0.0099893180084687
16-Aug-1951,-0.0010139796076188625,-0.00904553825272222,-0.010059517860341084
17-Aug-1951,-0.0010138006266465435,-0.009114011461912168,-0.010127812088558712
18-Aug-1951,-0.0010133373743699194,-0.009180840262710087,-0.010194177637080007
19-Aug-1951,-0.0010125900831176465,-0.009246002002286435,-0.010258592085404082
20-Aug-1951,-0.001011559069600311,-0.009309474584350174,-0.010321033653950484
21-Aug-1951,-0.0010102447348158525,-0.009371236474462113,-0.010381481209277966
22-Aug-1951,-0.0010086475639308954,-0.009431266705220022,-0.010439914269150917
