dates,Upper Aquifer,Corcoran Clay,Lower Aquifer,Total
14-May-1951,0.0,0.0,0.0,0.0
15-May-1951,-7.146260220780931e-05,8.224342856646561e-06,-0.0006900058954664532,-0.0007532441548176159
16-May-1951,-0.00015523730632606983,-6.179567780623272e-05,-0.0015121498075819282,-0.0017291827917142307
17-May-1951,-0.0002409354271350443,-0.0001301465497955133,-0.002354891388566882,-0.002725973365497439
18-May-1951,-0.0003286078409390024,-0.00019881784669158604,-0.003218796991822215,-0.0037462226794528035
19-May-1951,-0.0004181994304699604,-0.00026783292234314144,-0.004103293962686614,-0.004789326315499716
20-May-1951,-0.0005096549117346535,-0.0003371512886222818,-0.005007808145290078,-0.005854614345647013
21-May-1951,-0.0006029193800685842,-0.00040673187784600164,-0.0059317693954423,-0.006941420653356886
22-May-1951,-0.0006979382900512375,-0.00047653501692642905,-0.006874611387515822,-0.008049084694493489
23-May-1951,-0.0007946574367904412,-0.0005465223723160912,-0.007835771407233594,-0.009176951216340126
24-May-1951,-0.000893022938775986,-0.0006166568398788736,-0.008814690161046076,-0.010324369939700935
25-May-1951,-0.000992981221962104,-0.0006869024439445471,-0.009810811598899568,-0.011490695264806219
26-May-1951,-0.0010944790052792436,-0.0007572242467982467,-0.010823582752237762,-0.012675286004315252
27-May-1951,-0.0011974632873002805,-0.0008275882674180656,-0.011852453584539223,-0.013877505139257569
28-May-1951,-0.0013018813340890459,-0.0008979614085883332,-0.01289687685457965,-0.01509671959725703
29-May-1951,-0.001407680668258595,-0.0009683113916218074,-0.013956307992633973,-0.016332300052514376
30-May-1951,-0.0015148090589754122,-0.0010386066977278252,-0.01503020498702307,-0.017583620743726307
31-May-1951,-0.0016232145131198391,-0.0011088165155940786,-0.01611802828296662,-0.018850059311680538
01-Jun-1951,-0.0017328452672886996,-0.0011789106943162222,-0.017219240690649965,-0.020130996652254887
02-Jun-1951,-0.0018436497808545138,-0.0012488597013828979,-0.018333307304573544,-0.021425816786810957
03-Jun-1951,-0.0019555767297801036,-0.001318634584972768,-0.01945969543116375,-0.022733906745916622
04-Jun-1951,-0.002068575001402949,-0.0013882069403762245,-0.020597874526734665,-0.02405465646851384
05-Jun-1951,-0.002182593689892862,-0.001457548879895687,-0.021747316142839153,-0.0253874587126277
06-Jun-1951,-0.0022975820926004462,-0.00152663300612028,-0.02290749388112226,-0.026731708979842984
07-Jun-1951,-0.00241348970700553,-0.0015954323880080432,-0.024077883354774152,-0.028086805449787727
08-Jun-1951,-0.0025302662284743226,-0.0016639205397287289,-0.025257962158627002,-0.029452148926830055
09-Jun-1951,-0.0026478615485968264,-0.0017320714018167266,-0.026447209845591905,-0.030827142796005458
10-Jun-1951,-0.002766225754150726,-0.0017998593244831172,-0.02764510790988132,-0.032211192988515165
11-Jun-1951,-0.0028853091267356966,-0.00186725905294615,-0.028851139777429962,-0.03360370795711181
12-Jun-1951,-0.0030050621428620527,-0.0019342457144137743,-0.03006479080132224,-0.03500409865859806
13-Jun-1951,-0.003125435474695347,-0.002000794806770391,-0.03128554826425017,-0.03641177854571591
14-Jun-1951,-0.0032463799911941595,-0.0020668821885873466,-0.0325129013853285,-0.03782616356511001
15-Jun-1951,-0.003367846759849667,-0.0021324840705452463,-0.033746341333357986,-0.039246672163752896
16-Jun-1951,-0.003489787048770596,-0.0021975770079191693,-0.03498536124392564,-0.04067272530061541
17-Jun-1951,-0.0036121523293191835,-0.0022621378942361404,-0.036229456242413985,-0.04210374646596931
18-Jun-1951,-0.003734894279046428,-0.0023261439557832504,-0.0374781234703782,-0.04353916170520788
19-Jun-1951,-0.003857964785127558,-0.0023895727470848185,-0.03873086211725852,-0.044978399649470896
20-Jun-1951,-0.003981315948095246,-0.0024524021470966983,-0.03998717345544117,-0.046420891550633114
21-Jun-1951,-0.004104900085927559,-0.00251461035610822,-0.04124656087916627,-0.04786607132120205
22-Jun-1951,-0.004228669738534001,-0.002576175893351339,-0.042508529947744365,-0.049313375579629705
23-Jun-1951,-0.004352577672453362,-0.0026370775950863468,-0.04377258843119316,-0.05076224369873287
24-Jun-1951,-0.004476576885954409,-0.0026972946133141783,-0.04503824636018747,-0.05221211785945606
25-Jun-1951,-0.00460062061430778,-0.002756806414853077,-0.04630501607800846,-0.05366244310716931
26-Jun-1951,-0.0047246623354259935,-0.002815592780940242,-0.047572412296420584,-0.05511266741278682
27-Jun-1951,-0.004848655775643406,-0.002873633807111091,-0.04883995215323262,-0.05656224173598712
28-Jun-1951,-0.004972554915829194,-0.002930909903519124,-0.05010715527341954,-0.058010620092767855
29-Jun-1951,-0.005096313997616616,-0.0029874017954617006,-0.05137354383163944,-0.059457259624717755
30-Jun-1951,-0.005219887529930588,-0.003043090524275598,-0.052638642617971326,-0.06090162067217751
01-Jul-1951,-0.0053432302956064,-0.0030979574483791465,-0.053901979104780215,-0.06234316684876576
02-Jul-1951,-0.005466297358271643,-0.003151984244618941,-0.05516308351642694,-0.06378136511931752
03-Jul-1951,-0.005589044069332352,-0.003205152909747289,-0.05642148890020263,-0.06521568587928228
04-Jul-1951,-0.005711426075106237,-0.0032574457620711886,-0.05767673119895737,-0.0666456030361348
05-Jul-1951,-0.005833399324151139,-0.0033088454433003057,-0.058928349325844995,-0.06807059409329644
06-Jul-1951,-0.005954920074635291,-0.0033593349204438837,-0.0601758852396719,-0.06949014023475107
07-Jul-1951,-0.00607594490190969,-0.003408897487901006,-0.061418884022431515,-0.07090372641224221
08-Jul-1951,-0.006196430706098295,-0.0034575167695633595,-0.06265689395718912,-0.07231084143285078
09-Jul-1951,-0.006316334719864601,-0.0035051767210769595,-0.06388946660789027,-0.07371097804883184
10-Jul-1951,-0.006435614516181736,-0.003551861632091234,-0.06511615689933745,-0.07510363304761042
11-Jul-1951,-0.006554228016254315,-0.0035975561286367957,-0.06633652319884366,-0.07648830734373477
12-Jul-1951,-0.0066721334974256625,-0.003642245175470055,-0.0675501273978859,-0.07786450607078163
13-Jul-1951,-0.006789289601219576,-0.0036859140785201984,-0.06875653499520192,-0.07923173867494168
14-Jul-1951,-0.006905655341348838,-0.0037285484872858167,-0.06995531517972954,-0.0805895190083642
15-Jul-1951,-0.0070211901118336206,-0.0037701343973069487,-0.07114604091472858,-0.08193736542386915
16-Jul-1951,-0.007135853695102528,-0.0038106581525968156,-0.07232828902185225,-0.0832748008695516
17-Jul-1951,-0.007249606270114719,-0.0038501064480681575,-0.07350164026556072,-0.08460135298374359
18-Jul-1951,-0.007362408420538438,-0.003888466331987237,-0.07466567943817774,-0.08591655419070342
19-Jul-1951,-0.007474221142873465,-0.003925725208347433,-0.07581999544450048,-0.08721994179572137
20-Jul-1951,-0.0075850058546342945,-0.0039618708392790475,-0.07696418138711661,-0.08851105808102995
21-Jul-1951,-0.007694724402464435,-0.0039968913473660585,-0.07809783465111346,-0.08978945040094395
22-Jul-1951,-0.0078033390702933044,-0.004030775217983535,-0.0792205569893069,-0.09105467127758374
23-Jul-1951,-0.007910812587413581,-0.0040635113015350145,-0.08033195460675786,-0.09230627849570645
24-Jul-1951,-0.008017108136584619,-0.0040950888156971645,-0.0814316382456212,-0.09354383519790299
25-Jul-1951,-0.008122189362046721,-0.004125497347558601,-0.08251922326919328,-0.09476690997879861
26-Jul-1951,-0.008226020377543209,-0.004154726855750571,-0.083594329746082,-0.09597507697937578
27-Jul-1951,-0.008328565774261205,-0.00418276767248396,-0.08465658253365453,-0.0971679159803997
28-Jul-1951,-0.00842979062872142,-0.004209610505526558,-0.08570561136103182,-0.0983450124952798
29-Jul-1951,-0.00852966051063606,-0.004235246440135331,-0.08674105091180893,-0.09950595786258032
30-Jul-1951,-0.008628141490661108,-0.004259673180872811,-0.08776260616927989,-0.10065042084081381
31-Jul-1951,-0.008725200148120348,-0.004282888270939609,-0.08876998330583637,-0.10177807172489632
01-Aug-1951,-0.008820803578613638,-0.004304883950964449,-0.08976283579209388,-0.10288852332167196
02-Aug-1951,-0.008914919401582982,-0.004325652845980977,-0.09074082232250257,-0.10398139457006653
03-Aug-1951,-0.009007515767758151,-0.004345187966946282,-0.09170360689592363,-0.10505631063062806
04-Aug-1951,-0.009098561366543892,-0.004363482712202495,-0.09265085889558843,-0.10611290297433482
05-Aug-1951,-0.009188025433282449,-0.00438053086882702,-0.09358225316778314,-0.10715080946989261
06-Aug-1951,-0.009275877756445453,-0.0043963266139174645,-0.0944974700997794,-0.10816967447014231
07-Aug-1951,-0.00936208868469493,-0.004410864515765322,-0.09539619569644955,-0.1091691488969098
08-Aug-1951,-0.009446629133859021,-0.004424139534955516,-0.09627812165598083,-0.11014889032479537
09-Aug-1951,-0.009529470593781317,-0.004436147025361445,-0.0971429454442969,-0.11110856306343966
10-Aug-1951,-0.009610585135055565,-0.0044468827350446095,-0.09799037036830625,-0.11204783823840643
11-Aug-1951,-0.009689945415649097,-0.004456342807067673,-0.09882010564799583,-0.1129663938707126
12-Aug-1951,-0.009767524687389197,-0.004464523780196826,-0.09963186648713346,-0.11386391495471948
13-Aug-1951,-0.00984329680233335,-0.004471422589515493,-0.10042537414276602,-0.11474009353461487
