dates,Interconnected Matrix,total_10.00 clays,total
14-May-1951,0.0,0.0,0.0
15-May-1951,-0.00010320073450555497,-3.6267684975824776e-05,-0.00013946841948137974
16-May-1951,-0.00020641300985506576,-8.346825025104866e-05,-0.0002898812601061144
17-May-1951,-0.00030960652681242406,-0.0001380641573036366,-0.0004476706841160607
18-May-1951,-0.0004127509906738621,-0.0001986617156685625,-0.0006114127063424246
19-May-1951,-0.0005158161201585792,-0.00026443626804528746,-0.0007802523882038666
20-May-1951,-0.0006187716564680391,-0.00033482093292517537,-0.0009535925893932144
21-May-1951,-0.0007215873721660733,-0.000409391818894581,-0.0011309791910606543
22-May-1951,-0.0008242330802220606,-0.0004878140563640312,-0.0013120471365860918
23-May-1951,-0.0009266786428699826,-0.0005698125605827114,-0.001496491203452694
24-May-1951,-0.0010288939806247937,-0.0006551546181393596,-0.0016840485987641533
25-May-1951,-0.0011308490811098174,-0.0007436387812223061,-0.0018744878623321234
26-May-1951,-0.0012325140080250937,-0.0008350874076554105,-0.0020676014156805044
27-May-1951,-0.0013338589099858445,-0.0009293414413068822,-0.0022632003512927266
28-May-1951,-0.0014348540293364583,-0.0010262566378833565,-0.002461110667219815
29-May-1951,-0.0015354697110424296,-0.0011257007608917447,-0.002661170471934174
30-May-1951,-0.0016356764113932578,-0.0012275514504596712,-0.0028632278618529287
31-May-1951,-0.0017354447068411419,-0.001331694572087224,-0.0030671392789283656
01-Jun-1951,-0.0018347453026358834,-0.0014380229158134912,-0.0032727682184493746
02-Jun-1951,-0.0019335490415890975,-0.0015464351567034316,-0.0034799841982925293
03-Jun-1951,-0.0020318269126309877,-0.0016568350136090802,-0.003688661926240068
04-Jun-1951,-0.002129550059489656,-0.0017691305609294384,-0.0038986806204190944
05-Jun-1951,-0.0022266897891595767,-0.0018832336599621576,-0.004109923449121734
06-Jun-1951,-0.002323217580485758,-0.0019990594850733782,-0.004322277065559136
07-Jun-1951,-0.0024191050925338117,-0.0021165261257524957,-0.0045356312182863075
08-Jun-1951,-0.0025143241730589813,-0.002235554250172299,-0.004749878423231281
09-Jun-1951,-0.002608846866817493,-0.002356066818940551,-0.004964913685758044
10-Jun-1951,-0.0027026454238210274,-0.002477988840225184,-0.005180634264046212
11-Jun-1951,-0.002795692307628679,-0.002601247159270299,-0.005396939466898978
12-Jun-1951,-0.0028879602034280376,-0.0027257702766040025,-0.00561373048003204
13-Jun-1951,-0.0029794220262071166,-0.0028514881904783407,-0.005830910216685458
14-Jun-1951,-0.0030700509287029092,-0.0029783322597499284,-0.006048383188452838
15-Jun-1951,-0.0031598203094334704,-0.0031062350842490133,-0.006266055393682484
16-Jun-1951,-0.0032487038205045496,-0.0032351304000405407,-0.00648383422054509
17-Jun-1951,-0.0033366753754922414,-0.0033649529875771317,-0.006701628363069373
18-Jun-1951,-0.0034237091570985347,-0.003495638590915368,-0.006919347748013903
19-Jun-1951,-0.003509779624866233,-0.0036271238466119484,-0.007136903471478181
20-Jun-1951,-0.003594861522719025,-0.003759346221001086,-0.007354207743720111
21-Jun-1951,-0.003678929886419232,-0.0038922439548242397,-0.007571173841243471
22-Jun-1951,-0.0037619600510272306,-0.004025756014351406,-0.007787716065378637
23-Jun-1951,-0.0038439276581398664,-0.004159822048163342,-0.008003749706303208
24-Jun-1951,-0.00392480866317788,-0.004294382349016985,-0.008219191012194864
25-Jun-1951,-0.004004579342442227,-0.00442937782015045,-0.008433957162592678
26-Jun-1951,-0.004083216300211594,-0.004564749945616528,-0.008647966245828122
27-Jun-1951,-0.004160696475608342,-0.004700440764143149,-0.008861137239751491
28-Jun-1951,-0.004236997149497688,-0.004836392846227703,-0.00907338999572539
29-Jun-1951,-0.004312095951155093,-0.004972549274066632,-0.009284645225221724
30-Jun-1951,-0.004385970864958998,-0.005108853624110921,-0.009494824489069919
01-Jul-1951,-0.004458600236851742,-0.005245249951925208,-0.00970385018877695
02-Jul-1951,-0.004529962780810441,-0.0053816827791992,-0.00991164556000964
03-Jul-1951,-0.004600037585130826,-0.005518097082662721,-0.010118134667793547
04-Jul-1951,-0.004668804118602403,-0.0056544382847484595,-0.010323242403350863
05-Jul-1951,-0.0047362422366432145,-0.005790652245873257,-0.010526894482516471
06-Jul-1951,-0.004802332187211641,-0.005926685258144228,-0.010729017445355869
07-Jul-1951,-0.004867054616715734,-0.006062484040429409,-0.010929538657145143
08-Jul-1951,-0.0049303905756928725,-0.006197995734616063,-0.011128386310308935
09-Jul-1951,-0.004992321524478935,-0.006333167903018482,-0.011325489427497417
10-Jul-1951,-0.00505282933864916,-0.006467948526781222,-0.011520777865430383
11-Jul-1951,-0.005111896314440465,-0.006602286005254372,-0.011714182319694837
12-Jul-1951,-0.005169505173946975,-0.006736129156205806,-0.011905634330152782
13-Jul-1951,-0.005225639070289122,-0.006869427216857521,-0.012095066287146643
14-Jul-1951,-0.005280281592557659,-0.007002129845626262,-0.01228241143818392
15-Jul-1951,-0.005333416770717979,-0.007134187124561961,-0.01246760389527994
16-Jul-1951,-0.005385029080324042,-0.007265549562389152,-0.012650578642713194
17-Jul-1951,-0.005435103447103233,-0.00739616809811465,-0.012831271545217883
18-Jul-1951,-0.005483625251460405,-0.007525994105173878,-0.013009619356634283
19-Jul-1951,-0.005530580332768282,-0.007654979396031909,-0.01318555972880019
20-Jul-1951,-0.005575954993603945,-0.007783076227246187,-0.013359031220850132
21-Jul-1951,-0.005619736003768619,-0.007910237304906843,-0.013529973308675463
22-Jul-1951,-0.005661910604245781,-0.008036415790464149,-0.01369832639470993
23-Jul-1951,-0.005702466510945561,-0.00816156530686767,-0.01386403181781323
24-Jul-1951,-0.0057413919183797995,-0.008285639945027106,-0.014027031863406906
25-Jul-1951,-0.005778675503126623,-0.008408594270527063,-0.014187269773653685
26-Jul-1951,-0.005814306427214477,-0.008530383330604815,-0.014344689757819292
27-Jul-1951,-0.0058482743413207795,-0.008650962661337875,-0.014499237002658654
28-Jul-1951,-0.0058805693878289,-0.008770288295026914,-0.014650857682855813
29-Jul-1951,-0.005911182203773302,-0.008888316767763575,-0.014799498971536876
30-Jul-1951,-0.005940112341356138,-0.009005006426303443,-0.014945118767659582
31-Jul-1951,-0.005967359112453367,-0.009120316966533107,-0.015087676078986475
01-Aug-1951,-0.005992914654055773,-0.009234207982948028,-0.015227122637003801
02-Aug-1951,-0.006016771608012793,-0.009346639208123536,-0.01536341081613633
03-Aug-1951,-0.006038923123191865,-0.009457570739408514,-0.01549649386260038
04-Aug-1951,-0.006059362857528169,-0.00956696311457216,-0.015626325972100327
05-Aug-1951,-0.006078084979885764,-0.009674777352983763,-0.015752862332869527
06-Aug-1951,-0.006095084171802168,-0.009780974983088934,-0.0158760591548911
07-Aug-1951,-0.006110355629049131,-0.009885518063090404,-0.015995873692139534
08-Aug-1951,-0.006123895063068695,-0.009988369197812765,-0.01611226426088146
09-Aug-1951,-0.006135698702237999,-0.010089491553206988,-0.016225190255444985
10-Aug-1951,-0.006145763292984278,-0.010188848869302042,-0.01633461216228632
11-Aug-1951,-0.00615408610075659,-0.01028640547207868,-0.01644049157283527
12-Aug-1951,-0.006160664910828314,-0.010382126284549239,-0.016542791195377552
13-Aug-1951,-0.0061654980289597905,-0.010475976837240083,-0.016641474866199872
14-Aug-1951,-0.006168584281895496,-0.010567923278195682,-0.01673650756009118
15-Aug-1951,-0.006169923017715036,-0.010657932382594945,-0.016827855400309982
16-Aug-1951,-0.006169514106024493,-0.010745971562036568,-0.016915485668061062
17-Aug-1951,-0.006167357937995406,-0.01083200887353641,-0.016999366811531816
18-Aug-1951,-0.006163455426250018,-0.010916013028267554,-0.01707946845451757
19-Aug-1951,-0.0061578080045882,-0.010997953400062209,-0.01715576140465041
20-Aug-1951,-0.006150417627566682,-0.011077800033694475,-0.017228217661261157
21-Aug-1951,-0.006141286769915494,-0.011155523652949747,-0.017296810422865242
22-Aug-1951,-0.00613041842580588,-0.011231095668492279,-0.017361514094298158
23-Aug-1951,-0.006117816107967626,-0.011304488185535777,-0.0174223042935034
24-Aug-1951,-0.006103483846639001,-0.011375674011314646,-0.017479157857953648
25-Aug-1951,-0.00608742618838394,-0.011444626662367823,-0.017532052850751764
26-Aug-1951,-0.006069648194731876,-0.011511320371622797,-0.017580968566354674
27-Aug-1951,-0.006050155440692315,-0.011575730095294792,-0.017625885535987106
28-Aug-1951,-0.006028954013086949,-0.011637831519583529,-0.017666785532670478
29-Aug-1951,-0.00600605050876332,-0.011697601067185258,-0.017703651575948578
30-Aug-1951,-0.005981452032621291,-0.01175501590359773,-0.01773646793621902
31-Aug-1951,-0.005955166195527922,-0.011810053943238669,-0.01776522013876659
01-Sep-1951,-0.005927201112043681,-0.011862693855353726,-0.017789894967397406
02-Sep-1951,-0.00589756539802521,-0.011912915069728502,-0.01781048046775371
03-Sep-1951,-0.005866268168082918,-0.011960697782199606,-0.017826965950282526
04-Sep-1951,-0.005833319032856839,-0.012006022959948114,-0.01783934199280495
05-Sep-1951,-0.00579872809619624,-0.01204887234660006,-0.017847600442796298
06-Sep-1951,-0.005762505952136827,-0.01208922846709996,-0.017851734419236785
07-Sep-1951,-0.0057246636817916904,-0.012127074632388768,-0.01785173831418046
08-Sep-1951,-0.005685212850036156,-0.01216239494384925,-0.017847607793885407
09-Sep-1951,-0.005644165502113811,-0.012195174297553157,-0.017839339799666967
10-Sep-1951,-0.005601534160032922,-0.012225398388270364,-0.017826932548303285
11-Sep-1951,-0.005557331818891577,-0.012253053713277381,-0.01781038553216896
12-Sep-1951,-0.005511571942989948,-0.012278127575922568,-0.017789699518912516
13-Sep-1951,-0.005464268461878819,-0.01230060808898854,-0.017764876550867358
14-Sep-1951,-0.005415435766197753,-0.012320484177808547,-0.0177359199440063
15-Sep-1951,-0.005365088703424891,-0.012337745583167322,-0.017702834286592212
16-Sep-1951,-0.00531324257349445,-0.012352382863976783,-0.017665625437471234
17-Sep-1951,-0.005259913124224461,-0.012364387399703065,-0.017624300523927525
18-Sep-1951,-0.005205116546695264,-0.012373751392586724,-0.017578867939281987
19-Sep-1951,-0.005148869470405508,-0.012380467869603874,-0.01752933734000938
20-Sep-1951,-0.005091188958391972,-0.012384530684220029,-0.017475719642612
21-Sep-1951,-0.005032092502124693,-0.012385934517881562,-0.017418027020006256
22-Sep-1951,-0.004971598016373818,-0.012384674881299412,-0.01735627289767323
23-Sep-1951,-0.00490972383384992,-0.012380748115467152,-0.01729047194931707
24-Sep-1951,-0.004846488699823933,-0.012374151392470955,-0.01722064009229489
25-Sep-1951,-0.004781911766519037,-0.012364882716031304,-0.01714679448255034
26-Sep-1951,-0.004716012587490106,-0.012352940921836898,-0.017068953509327005
27-Sep-1951,-0.004648811111781091,-0.012338325677610115,-0.016987136789391205
28-Sep-1951,-0.0045803276780339705,-0.012321037482950836,-0.016901365160984807
29-Sep-1951,-0.004510583008484793,-0.012301077668944286,-0.016811660677429077
30-Sep-1951,-0.004439598202771176,-0.0122784483975049,-0.016718046600276076
01-Oct-1951,-0.004367394731740138,-0.012253152660512766,-0.016620547392252903
02-Oct-1951,-0.004293994431024676,-0.012225194278675284,-0.01651918870969996
03-Oct-1951,-0.004219419494635628,-0.012194577900183957,-0.016413997394819586
