dates,Interconnected Matrix,total_5.00 clays,total
14-May-1951,0.0,0.0,0.0
15-May-1951,-1.6817995049583913e-05,-4.724904317271239e-06,-2.154289936685515e-05
16-May-1951,-3.363916921251231e-05,-1.0312933824857915e-05,-4.395210303737022e-05
17-May-1951,-5.04586128903545e-05,-1.6484482231975228e-05,-6.694309512232973e-05
18-May-1951,-6.727141721906519e-05,-2.3129085764681064e-05,-9.040050298374626e-05
19-May-1951,-8.40726755096226e-05,-3.0181173462617108e-05,-0.00011425384897223971
20-May-1951,-0.00010085748471597852,-3.75955105851681e-05,-0.00013845299530114663
21-May-1951,-0.00011762094687392383,-4.533814296138539e-05,-0.00016295908983530923
22-May-1951,-0.00013435817056647805,-5.338213923241619e-05,-0.00018774030979889424
23-May-1951,-0.00015106427235931342,-6.170528296033656e-05,-0.00021276955531965
24-May-1951,-0.00016773437826182223,-7.02886948197945e-05,-0.00023802307308161673
25-May-1951,-0.00018436362515738714,-7.911594887329853e-05,-0.00026347957403068567
26-May-1951,-0.00020094716225666295,-8.817247332498859e-05,-0.00028911963558165155
27-May-1951,-0.00021748015252973443,-9.744512623602364e-05,-0.00031492527876575806
28-May-1951,-0.00023395777413423628,-0.00010692188514642996,-0.00034087965928066623
29-May-1951,-0.00025037522185625375,-0.00011659161454414946,-0.0003669668364004032
30-May-1951,-0.0002667277085204644,-0.00012644388867614866,-0.000393171597196613
31-May-1951,-0.0002830104664223723,-0.00013646885495069948,-0.00041947932137307176
01-Jun-1951,-0.00029921874872745283,-0.00014665712777449757,-0.00044587587650195043
02-Jun-1951,-0.00031534783089129007,-0.00015699970560169714,-0.0004723475364929872
03-Jun-1951,-0.0003313930120460885,-0.00016748790586342043,-0.000498880917909509
04-Jun-1951,-0.00034734961640706146,-0.00017811331379655215,-0.0005254629302036135
05-Jun-1951,-0.00036321299464459744,-0.00018886774211123732,-0.0005520807367558348
06-Jun-1951,-0.00037897852527525816,-0.00019974319916116987,-0.0005787217244364281
07-Jun-1951,-0.0003946416160180071,-0.00021073186377866142,-0.0006053734797966685
08-Jun-1951,-0.00041019770516651253,-0.00022182606536396893,-0.0006320237705304814
09-Jun-1951,-0.00042564226293590585,-0.00023301826810442273,-0.0006586605310403286
10-Jun-1951,-0.00044097079280030945,-0.0002443010584528144,-0.0006852718512531239
11-Jun-1951,-0.0004561788328364163,-0.00025566713518324833,-0.0007118459680196647
12-Jun-1951,-0.00047126195703295636,-0.0002671093014740964,-0.0007383712585070528
13-Jun-1951,-0.0004862157766148532,-0.0002786204586058638,-0.0007648362352207169
14-Jun-1951,-0.0005010359413311505,-0.0002901936009269152,-0.0007912295422580658
15-Jun-1951,-0.0005157181407565237,-0.00030182181183611214,-0.0008175399525926358
16-Jun-1951,-0.0005302581055562599,-0.0003134982605626079,-0.0008437563661188678
17-Jun-1951,-0.0005446516087635326,-0.0003252161995913671,-0.0008698678083548997
18-Jun-1951,-0.0005588944670198595,-0.00033696896259315616,-0.0008958634296130157
19-Jun-1951,-0.0005729825418252348,-0.0003487499627689679,-0.0009217325045942028
20-Jun-1951,-0.0005869117407598759,-0.000360552691519134,-0.00094746443227901
21-Jun-1951,-0.000600678018692692,-0.0003723707173769618,-0.0009730487360696538
22-Jun-1951,-0.0006142773789899499,-0.000384197685160532,-0.0009984750641504818
23-Jun-1951,-0.0006277058746881628,-0.00039602731529366235,-0.0010237331899818252
24-Jun-1951,-0.0006409596096749523,-0.0004078534032754021,-0.0010488130129503543
25-Jun-1951,-0.0006540347398324201,-0.0004196698192616112,-0.0010737045590940312
26-Jun-1951,-0.0006669274741872062,-0.00043147050774971905,-0.0010983979819369253
