dates,Upper Aquifer,Corcoran Clay,Lower Aquifer,Total
14-May-1951,0.0,0.0,0.0,0.0
15-May-1951,-7.146260220780931e-05,3.624512002823898e-06,-0.001873786800866785,-0.0019416248910717703
16-May-1951,-0.00015523730632606983,-0.0003757972894873695,-0.004195930058461883,-0.0047269646542753225
17-May-1951,-0.0002409354271350443,-0.0007564169856650149,-0.006536263572318346,-0.007533615985118406
18-May-1951,-0.0003286078409390024,-0.0011359923005548104,-0.00889595952799162,-0.010360559669485432
19-May-1951,-0.0004181994304699604,-0.0015145085633386803,-0.011274031974382271,-0.013206739968190911
20-May-1951,-0.0005096549117346535,-0.0018915429758329255,-0.01366948840076969,-0.01607068628833727
21-May-1951,-0.0006029193800685842,-0.002266717493995581,-0.016081340522474827,-0.018950977396538993
22-May-1951,-0.0006979382900512375,-0.0026396939942969397,-0.0185086042606806,-0.021846236545028777
23-May-1951,-0.0007946574367904412,-0.0030101698853670284,-0.020950299678768932,-0.024755127000926403
24-May-1951,-0.000893022938775986,-0.003380529935749545,-0.02340545093654812,-0.027679003811073653
25-May-1951,-0.000992981221962104,-0.00374991778754562,-0.025873086254298013,-0.03061598526380574
26-May-1951,-0.0010944790052792436,-0.004118153881424041,-0.028352237893304367,-0.03356487078000765
27-May-1951,-0.0011974632873002805,-0.004485060248583869,-0.030841942146296118,-0.03652446568218027
28-May-1951,-0.0013018813340890459,-0.004850461091234364,-0.033341239339510186,-0.0394935817648336
29-May-1951,-0.001407680668258595,-0.005214183249530106,-0.03584917384817791,-0.042471037765966606
30-May-1951,-0.0015148090589754122,-0.005576056570459969,-0.03836479411892369,-0.04545565974835907
31-May-1951,-0.0016232145131198391,-0.005935914194252183,-0.04088715270583068,-0.0484462814132027
01-Jun-1951,-0.0017328452672886996,-0.006293592769560045,-0.04341530631215768,-0.051441744349006426
02-Jun-1951,-0.0018436497808545138,-0.006648932609534471,-0.0459483158446509,-0.054440898235039885
03-Jun-1951,-0.0019555767297801036,-0.007001777796997066,-0.048485246472549814,-0.057442600999326986
04-Jun-1951,-0.002068575001402949,-0.007351976248121905,-0.051025167698202645,-0.060445718947727496
05-Jun-1951,-0.002182593689892862,-0.007699379740494303,-0.05356715343152102,-0.06344912686190818
06-Jun-1951,-0.0022975820926004462,-0.008043843912882143,-0.056110282075116445,-0.06645170808059904
07-Jun-1951,-0.00241348970700553,-0.008385228240790037,-0.058653636612503,-0.06945235456029857
08-Jun-1951,-0.0025302662284743226,-0.008724939538689263,-0.06119630470591287,-0.07245151047307645
09-Jun-1951,-0.0026478615485968264,-0.009062091714645653,-0.06373737879776178,-0.07544733206100426
10-Jun-1951,-0.002766225754150726,-0.009396562689779776,-0.0662759562176855,-0.078438744661616
11-Jun-1951,-0.0028853091267356966,-0.009728231618822811,-0.06881113929690241,-0.08142468004246092
12-Jun-1951,-0.0030050621428620527,-0.010056978962024237,-0.07134203548420308,-0.08440407658908937
13-Jun-1951,-0.003125435474695347,-0.010382686552348336,-0.07386775746988676,-0.08737587949693044
14-Jun-1951,-0.0032463799911941595,-0.010705237656943978,-0.07638742331053425,-0.09033904095867239
15-Jun-1951,-0.003367846759849667,-0.01102451703416681,-0.0789001565610725,-0.09329252035508898
16-Jun-1951,-0.003489787048770596,-0.011340410985245512,-0.08140508640713032,-0.09623528444114643
17-Jun-1951,-0.0036121523293191835,-0.011652807401913911,-0.08390134780409401,-0.09916630753532711
18-Jun-1951,-0.003734894279046428,-0.01196159580917169,-0.08638808161597449,-0.1020845717041926
19-Jun-1951,-0.003857964785127558,-0.012266667404471958,-0.0888644347601781,-0.10498906694977761
20-Jun-1951,-0.003981315948095246,-0.012567915092761719,-0.09132956035285437,-0.10787879139371134
21-Jun-1951,-0.004104900085927559,-0.012865233517983668,-0.09378261785664395,-0.11075275146055517
22-Jun-1951,-0.004228669738534001,-0.013158519091604814,-0.09622277323251573,-0.11360996206265454
23-Jun-1951,-0.004352577672453362,-0.013447670017639237,-0.09864919909060607,-0.11644944678069867
24-Jun-1951,-0.004476576885954409,-0.013732586315388515,-0.10106107484585604,-0.11927023804719897
25-Jun-1951,-0.00460062061430778,-0.014013169839135567,-0.1034575868721008,-0.12207137732554414
26-Jun-1951,-0.0047246623354259935,-0.014289324296005906,-0.10583792866048472,-0.12485191529191662
27-Jun-1951,-0.004848655775643406,-0.014561687936618503,-0.10820130097600415,-0.12761164468826605
28-Jun-1951,-0.004972554915829194,-0.014829866396763265,-0.11054691201792285,-0.13034933333051532
29-Jun-1951,-0.005096313997616616,-0.015093771737313319,-0.11287397757804893,-0.13306406331297888
30-Jun-1951,-0.005219887529930588,-0.01535331741603919,-0.11518172120243161,-0.1357549261484014
01-Jul-1951,-0.0053432302956064,-0.0156084183172679,-0.11746937435066626,-0.13842102296354056
02-Jul-1951,-0.005466297358271643,-0.015858990780979756,-0.11973617655805123,-0.14106146469730263
03-Jul-1951,-0.005589044069332352,-0.016104952630655988,-0.12198137559609407,-0.1436753722960824
04-Jul-1951,-0.005711426075106237,-0.01634622320014983,-0.12420422763301182,-0.1462618769082679
05-Jul-1951,-0.005833399324151139,-0.016582723359830968,-0.12640399739563715,-0.14882012007961926
06-Jul-1951,-0.005954920074635291,-0.016814375541375645,-0.12857995832855212,-0.15134925394456306
07-Jul-1951,-0.00607594490190969,-0.017041103761987735,-0.13073139275528176,-0.1538484414191792
08-Jul-1951,-0.006196430706098295,-0.017262833647274854,-0.13285759203636954,-0.1563168563897427
09-Jul-1951,-0.006316334719864601,-0.017479492453564914,-0.13495785672912977,-0.15875368390255928
10-Jul-1951,-0.006435614516181736,-0.017691009088922488,-0.13703149674415716,-0.16115812034926139
11-Jul-1951,-0.006554228016254315,-0.017897314133621566,-0.1390778315031394,-0.1635293736530153
12-Jul-1951,-0.0066721334974256625,-0.01809833985937001,-0.14109619009330965,-0.1658666634501053
13-Jul-1951,-0.006789289601219576,-0.01829402024800917,-0.14308591142284519,-0.16816922127207393
14-Jul-1951,-0.006905655341348838,-0.018484291009020618,-0.14504634437279468,-0.17043629072316413
15-Jul-1951,-0.0070211901118336206,-0.018669089596509553,-0.1469768479494998,-0.17266712765784298
16-Jul-1951,-0.007135853695102528,-0.018848826118251196,-0.1488767914341597,-0.17486147124751342
17-Jul-1951,-0.007249606270114719,-0.019023267942629932,-0.1507455545307923,-0.17701842874353696
18-Jul-1951,-0.007362408420538438,-0.019192359711713156,-0.15258252751359924,-0.17913729564585085
19-Jul-1951,-0.007474221142873465,-0.019356047687729385,-0.15438711137072483,-0.1812173802013277
20-Jul-1951,-0.0075850058546342945,-0.019514279769957503,-0.1561587179478807,-0.1832580035724725
21-Jul-1951,-0.007694724402464435,-0.01966700551075896,-0.1578967700881749,-0.1852585000013983
22-Jul-1951,-0.0078033390702933044,-0.019814176131280486,-0.1596007017715229,-0.1872182169730967
23-Jul-1951,-0.007910812587413581,-0.019955744536306413,-0.16126995825018897,-0.18913651537390896
24-Jul-1951,-0.008017108136584619,-0.020091665328752215,-0.16290399618360918,-0.191012769648946
25-Jul-1951,-0.008122189362046721,-0.020221894823316506,-0.16450228376933806,-0.19284636795470128
26-Jul-1951,-0.008226020377543209,-0.020346391059737578,-0.1660643008729073,-0.1946367123101881
27-Jul-1951,-0.008328565774261205,-0.020465113815292417,-0.1675895391542417,-0.19638321874379533
28-Jul-1951,-0.00842979062872142,-0.020578024616697423,-0.16907750219153295,-0.1980853174369518
29-Jul-1951,-0.00852966051063606,-0.02068508675150281,-0.17052770560320785,-0.19974245286534673
30-Jul-1951,-0.008628141490661108,-0.020786271518693226,-0.1719397424294908,-0.20135415543884513
31-Jul-1951,-0.008725200148120348,-0.020881952411638552,-0.1733132140567718,-0.2029203666165307
01-Aug-1951,-0.008820803578613638,-0.020971928644117267,-0.17464767635877085,-0.20444040858150175
02-Aug-1951,-0.008914919401582982,-0.021056172035071465,-0.17594269765273798,-0.20591378908939242
03-Aug-1951,-0.009007515767758151,-0.02113465611318277,-0.1771978588077877,-0.20734003068872864
04-Aug-1951,-0.009098561366543892,-0.021207356124998307,-0.1784127533509974,-0.2087186708425396
05-Aug-1951,-0.009188025433282449,-0.021274249042411136,-0.17958698756952857,-0.21004926204522215
06-Aug-1951,-0.009275877756445453,-0.021335313569724727,-0.18072018061026235,-0.21133137193643253
07-Aug-1951,-0.00936208868469493,-0.021390530150083166,-0.18181196457546994,-0.21256458341024803
08-Aug-1951,-0.009446629133859021,-0.021439880971454477,-0.18286198461577804,-0.21374849472109153
09-Aug-1951,-0.009529470593781317,-0.021483566059035664,-0.18386989901935596,-0.21488293567217295
10-Aug-1951,-0.009610585135055565,-0.0215215449696577,-0.18483537929775315,-0.21596750940246642
11-Aug-1951,-0.009689945415649097,-0.0215538061068561,-0.18575811026852482,-0.21700186179103
12-Aug-1951,-0.009767524687389197,-0.021580339573872134,-0.186637790134025,-0.21798565439528633
13-Aug-1951,-0.00984329680233335,-0.02160113717654509,-0.18747413055696022,-0.21891856453583866
14-Aug-1951,-0.00991723621899994,-0.021616192425671126,-0.18826685673214313,-0.2198002853768142
15-Aug-1951,-0.0099893180084687,-0.021625826379972526,-0.18901570745480037,-0.2206308518432416
16-Aug-1951,-0.010059517860341084,-0.021629875315961677,-0.18972043518515483,-0.2214098283614576
17-Aug-1951,-0.010127812088558712,-0.021628600939387364,-0.19038843876635295,-0.22214485179429902
18-Aug-1951,-0.010194177637080007,-0.02162799347258769,-0.19103161779008862,-0.22285378889975632
19-Aug-1951,-0.010258592085404082,-0.0216273218618996,-0.19164807122304156,-0.22353398517034523
20-Aug-1951,-0.010321033653950484,-0.021626416950744947,-0.1922373944166684,-0.22418484502136382
21-Aug-1951,-0.010381481209277966,-0.02162527807231963,-0.1927993815417278,-0.2248061408233254
22-Aug-1951,-0.010439914269150917,-0.021623904640731228,-0.19333429375677547,-0.2253981126666576
23-Aug-1951,-0.010496313007451448,-0.021622296150895285,-0.19384274007948382,-0.22596134923783057
24-Aug-1951,-0.010550658258915456,-0.021620452178416044,-0.1943243585001257,-0.2264954689374572
25-Aug-1951,-0.010602931523724197,-0.021618372379455908,-0.1947789723980412,-0.22700027630122133
26-Aug-1951,-0.010653114971907416,-0.021616056490587014,-0.19520641365880667,-0.22747558512130112
27-Aug-1951,-0.010701191447600646,-0.021613504328631662,-0.1956212264122063,-0.2279359221884386
28-Aug-1951,-0.010747602230272109,-0.021610715790483286,-0.19602461390700968,-0.22838293192776507
29-Aug-1951,-0.010793431016865841,-0.021607690852916386,-0.19641643486852736,-0.22881755673830959
30-Aug-1951,-0.010838562260743187,-0.021604429572375645,-0.1967965516213476,-0.22923954345446643
31-Aug-1951,-0.01088298126943597,-0.02160093208475409,-0.19716483013015737,-0.22964874348434744
01-Sep-1951,-0.010926673583120548,-0.021597198605149567,-0.19752114003931448,-0.2300450122275846
02-Sep-1951,-0.010969624978739918,-0.021593229427607996,-0.19786535471141156,-0.23042820911775946
03-Sep-1951,-0.011011821474055241,-0.02158902492485031,-0.19819735126475116,-0.23079819766365672
04-Sep-1951,-0.011053249331621058,-0.021584585547977417,-0.19851701060954402,-0.2311548454891425
05-Sep-1951,-0.011093895062698604,-0.021579911826165032,-0.19882421748319132,-0.23149802437205497
06-Sep-1951,-0.01113374543108361,-0.021575004366333222,-0.19911886048418104,-0.23182761028159787
07-Sep-1951,-0.011172787456873143,-0.021570010738196758,-0.19940083210507836,-0.23214363030014826
08-Sep-1951,-0.011211008420144802,-0.021564930933399847,-0.1996700287640919,-0.23244596811763654
09-Sep-1951,-0.011248395864571475,-0.021559765370434924,-0.19992635083573845,-0.23273451207074486
10-Sep-1951,-0.011284937600947469,-0.02155451450079991,-0.2001697026800424,-0.23300915478178977
11-Sep-1951,-0.011320621710648201,-0.021549178808720527,-0.20039999267084058,-0.2332697931902093
12-Sep-1951,-0.011355436548998725,-0.021543758810863237,-0.20061710793613446,-0.23351630329599643
