dates,Upper Aquifer,Corcoran Clay,Lower Aquifer,Total
14-May-1951,0.0,0.0,0.0,0.0
15-May-1951,-0.0002560099439693282,5.3052194301867725e-06,-0.001873786800866785,-0.0021244915254059263
16-May-1951,-0.0005828223743801354,-0.0002617266988665936,-0.004195930058461883,-0.005040479131708612
17-May-1951,-0.00091123065724462,-0.0005360063452763911,-0.006536263572318346,-0.007983500574839358
18-May-1951,-0.0012411166645907624,-0.000809688976214226,-0.00889595952799162,-0.010946765168796608
19-May-1951,-0.001572360030786418,-0.0010825676311638725,-0.011274031974382271,-0.01392895963633256
20-May-1951,-0.0019048407555254136,-0.0013559837113158737,-0.01366948840076969,-0.01693031286761098
21-May-1951,-0.0022384392217756313,-0.001629537360874693,-0.016081340522474827,-0.019949317105125153
22-May-1951,-0.0025730362022777188,-0.0019031397364530677,-0.0185086042606806,-0.022984780199411387
23-May-1951,-0.002908512866688556,-0.0021766785627089073,-0.020950299678768932,-0.026035491108166393
24-May-1951,-0.0032447507903693084,-0.002450082400622619,-0.02340545093654812,-0.02910028412754005
25-May-1951,-0.0035816319636969305,-0.002723258632773292,-0.025873086254298013,-0.03217797685076824
26-May-1951,-0.003919038802861948,-0.0029961153166854462,-0.028352237893304367,-0.03526739201285176
27-May-1951,-0.004256854161284539,-0.0032684812561760428,-0.030841942146296118,-0.0383672775637567
28-May-1951,-0.004594961341899485,-0.0035403484026199383,-0.033341239339510186,-0.04147654908402961
29-May-1951,-0.00493324411062299,-0.0038124119215991897,-0.03584917384817791,-0.04459482988040009
30-May-1951,-0.005271586710091767,-0.004084331888958993,-0.03836479411892369,-0.04772071271797445
31-May-1951,-0.005609873874681578,-0.004355923876608746,-0.04088715270583068,-0.050852950457121
01-Jun-1951,-0.005947990845683952,-0.004627280861316527,-0.04341530631215768,-0.05399057801915816
02-Jun-1951,-0.006285823387653879,-0.004898357063396679,-0.0459483158446509,-0.05713249629570146
03-Jun-1951,-0.006623257804849364,-0.00516910677509238,-0.048485246472549814,-0.06027761105249156
04-Jun-1951,-0.0069601809587522216,-0.005439286777136886,-0.051025167698202645,-0.06342463543409176
05-Jun-1951,-0.0072964802855984825,-0.005709049414001543,-0.05356715343152102,-0.06657268313112105
06-Jun-1951,-0.00763204381492356,-0.005978349672900643,-0.056110282075116445,-0.06972067556294065
07-Jun-1951,-0.007966760188038012,-0.006247142923539435,-0.058653636612503,-0.07286753972408044
08-Jun-1951,-0.008300518677410001,-0.006515128464847918,-0.06119630470591287,-0.07601195184817079
09-Jun-1951,-0.00863320920611807,-0.006782519158414876,-0.06373737879776178,-0.07915310716229473
10-Jun-1951,-0.008964722367658497,-0.007049271915721924,-0.0662759562176855,-0.08228995050106593
11-Jun-1951,-0.009294949446390463,-0.007315344277158748,-0.06881113929690241,-0.08542143302045163
12-Jun-1951,-0.009623782437812155,-0.007580833155354668,-0.07134203548420308,-0.0885466510773699
13-Jun-1951,-0.009951114069594607,-0.007845811682416935,-0.07386775746988676,-0.0916646832218983
14-Jun-1951,-0.01027683782237092,-0.008110249267155542,-0.07638742331053425,-0.09477451040006071
15-Jun-1951,-0.01060084795121612,-0.008374115507675575,-0.0789001565610725,-0.09787512001996418
16-Jun-1951,-0.010923039506838015,-0.008637010121725349,-0.08140508640713032,-0.10096513603569368
17-Jun-1951,-0.011243308357407836,-0.008899273217260698,-0.08390134780409401,-0.10404392937876256
18-Jun-1951,-0.011561551210051766,-0.009160875048875977,-0.08638808161597449,-0.10711050787490223
19-Jun-1951,-0.011877665632899975,-0.009421786121769913,-0.0888644347601781,-0.11016388651484799
20-Jun-1951,-0.01219155007693478,-0.009681549165551749,-0.09132956035285437,-0.1132026595953409
21-Jun-1951,-0.01250310389791715,-0.009940563282765371,-0.09378261785664395,-0.11622628503732647
22-Jun-1951,-0.01281222737863473,-0.010198799828644975,-0.09622277323251573,-0.11923380043979542
23-Jun-1951,-0.013118821750769798,-0.010456230474246571,-0.09864919909060607,-0.12222425131562244
24-Jun-1951,-0.013422789217213037,-0.010712341350320136,-0.10106107484585604,-0.12519620541338922
25-Jun-1951,-0.013724032973931264,-0.010967590683552995,-0.1034575868721008,-0.12814921052958506
26-Jun-1951,-0.014022457232237983,-0.011221951185462632,-0.10583792866048472,-0.13108233707818534
27-Jun-1951,-0.014317967240597442,-0.01147539594377194,-0.10820130097600415,-0.13399466416037353
28-Jun-1951,-0.014610469306775602,-0.01172735488143317,-0.11054691201792285,-0.13688473620613162
29-Jun-1951,-0.014899870819505442,-0.011978345439672694,-0.11287397757804893,-0.13975219383722706
30-Jun-1951,-0.015186080270455525,-0.012228341914824133,-0.11518172120243161,-0.14259614338771126
01-Jul-1951,-0.015469007275689933,-0.012477582533122852,-0.11746937435066626,-0.14541596415947905
