dates,Interconnected Matrix,total_5.00 clays,total
14-May-1951,0.0,0.0,0.0
15-May-1951,-1.6817995049583913e-05,-0.00023919194891974425,-0.0002560099439693282
16-May-1951,-3.363916921251231e-05,-0.0005491832051676231,-0.0005828223743801354
17-May-1951,-5.04586128903545e-05,-0.0008607720443542655,-0.00091123065724462
18-May-1951,-6.727141721906519e-05,-0.0011738452473716973,-0.0012411166645907624
19-May-1951,-8.40726755096226e-05,-0.0014882873552767954,-0.001572360030786418
20-May-1951,-0.00010085748471597852,-0.001803983270809435,-0.0019048407555254136
21-May-1951,-0.00011762094687392383,-0.0021208182749017073,-0.0022384392217756313
22-May-1951,-0.00013435817056647805,-0.002438678031711241,-0.0025730362022777188
23-May-1951,-0.00015106427235931342,-0.0027574485943292425,-0.002908512866688556
24-May-1951,-0.00016773437826182223,-0.0030770164121074863,-0.0032447507903693084
25-May-1951,-0.00018436362515738714,-0.0033972683385395433,-0.0035816319636969305
26-May-1951,-0.00020094716225666295,-0.0037180916406052847,-0.003919038802861948
27-May-1951,-0.00021748015252973443,-0.004039374008754804,-0.004256854161284539
28-May-1951,-0.00023395777413423628,-0.0043610035677652485,-0.004594961341899485
29-May-1951,-0.00025037522185625375,-0.004682868888766736,-0.00493324411062299
30-May-1951,-0.0002667277085204644,-0.0050048590015713025,-0.005271586710091767
31-May-1951,-0.0002830104664223723,-0.005326863408259205,-0.005609873874681578
01-Jun-1951,-0.00029921874872745283,-0.005648772096956499,-0.005947990845683952
02-Jun-1951,-0.00031534783089129007,-0.0059704755567625886,-0.006285823387653879
03-Jun-1951,-0.0003313930120460885,-0.006291864792803276,-0.006623257804849364
04-Jun-1951,-0.00034734961640706146,-0.0066128313423451605,-0.0069601809587522216
05-Jun-1951,-0.00036321299464459744,-0.006933267290953885,-0.0072964802855984825
06-Jun-1951,-0.00037897852527525816,-0.007253065289648301,-0.00763204381492356
07-Jun-1951,-0.0003946416160180071,-0.007572118572020005,-0.007966760188038012
08-Jun-1951,-0.00041019770516651253,-0.007890320972243488,-0.008300518677410001
09-Jun-1951,-0.00042564226293590585,-0.008207566943182164,-0.00863320920611807
10-Jun-1951,-0.00044097079280030945,-0.008523751574858188,-0.008964722367658497
11-Jun-1951,-0.0004561788328364163,-0.008838770613554047,-0.009294949446390463
12-Jun-1951,-0.00047126195703295636,-0.009152520480779198,-0.009623782437812155
13-Jun-1951,-0.0004862157766148532,-0.009464898292979753,-0.009951114069594607
14-Jun-1951,-0.0005010359413311505,-0.00977580188103977,-0.01027683782237092
15-Jun-1951,-0.0005157181407565237,-0.010085129810459597,-0.01060084795121612
16-Jun-1951,-0.0005302581055562599,-0.010392781401281755,-0.010923039506838015
17-Jun-1951,-0.0005446516087635326,-0.010698656748644304,-0.011243308357407836
18-Jun-1951,-0.0005588944670198595,-0.011002656743031906,-0.011561551210051766
19-Jun-1951,-0.0005729825418252348,-0.01130468309107474,-0.011877665632899975
20-Jun-1951,-0.0005869117407598759,-0.011604638336174904,-0.01219155007693478
21-Jun-1951,-0.000600678018692692,-0.011902425879224458,-0.01250310389791715
22-Jun-1951,-0.0006142773789899499,-0.01219794999964478,-0.01281222737863473
23-Jun-1951,-0.0006277058746881628,-0.012491115876081635,-0.013118821750769798
24-Jun-1951,-0.0006409596096749523,-0.012781829607538084,-0.013422789217213037
25-Jun-1951,-0.0006540347398324201,-0.013069998234098844,-0.013724032973931264
26-Jun-1951,-0.0006669274741872062,-0.013355529758050776,-0.014022457232237983
27-Jun-1951,-0.0006796340760230376,-0.013638333164574405,-0.014317967240597442
28-Jun-1951,-0.0006921508639986096,-0.013918318442776993,-0.014610469306775602
29-Jun-1951,-0.0007044742132280074,-0.014195396606277435,-0.014899870819505442
30-Jun-1951,-0.000716600556365148,-0.014469479714090377,-0.015186080270455525
01-Jul-1951,-0.000728526384650697,-0.014740480891039236,-0.015469007275689933
