dates,Interconnected Matrix,total_10.00 clays,total
14-May-1951,0.0,0.0,0.0
15-May-1951,-0.00010320073450555497,-0.0017705860663612299,-0.001873786800866785
16-May-1951,-0.00020641300985506576,-0.003989517048606818,-0.004195930058461883
17-May-1951,-0.00030960652681242406,-0.006226657045505922,-0.006536263572318346
18-May-1951,-0.0004127509906738621,-0.008483208537317757,-0.00889595952799162
19-May-1951,-0.0005158161201585792,-0.010758215854223692,-0.011274031974382271
20-May-1951,-0.0006187716564680391,-0.013050716744301652,-0.01366948840076969
21-May-1951,-0.0007215873721660733,-0.015359753150308752,-0.016081340522474827
22-May-1951,-0.0008242330802220606,-0.017684371180458538,-0.0185086042606806
23-May-1951,-0.0009266786428699826,-0.02002362103589895,-0.020950299678768932
24-May-1951,-0.0010288939806247937,-0.02237655695592333,-0.02340545093654812
25-May-1951,-0.0011308490811098174,-0.024742237173188197,-0.025873086254298013
26-May-1951,-0.0012325140080250937,-0.027119723885279272,-0.028352237893304367
27-May-1951,-0.0013338589099858445,-0.029508083236310274,-0.030841942146296118
28-May-1951,-0.0014348540293364583,-0.03190638531017373,-0.033341239339510186
29-May-1951,-0.0015354697110424296,-0.03431370413713548,-0.03584917384817791
30-May-1951,-0.0016356764113932578,-0.036729117707530436,-0.03836479411892369
31-May-1951,-0.0017354447068411419,-0.03915170799898954,-0.04088715270583068
01-Jun-1951,-0.0018347453026358834,-0.0415805610095218,-0.04341530631215768
02-Jun-1951,-0.0019335490415890975,-0.0440147668030618,-0.0459483158446509
03-Jun-1951,-0.0020318269126309877,-0.04645341955991883,-0.048485246472549814
04-Jun-1951,-0.002129550059489656,-0.04889561763871299,-0.051025167698202645
05-Jun-1951,-0.0022266897891595767,-0.051340463642361445,-0.05356715343152102
06-Jun-1951,-0.002323217580485758,-0.053787064494630686,-0.056110282075116445
07-Jun-1951,-0.0024191050925338117,-0.05623453151996919,-0.058653636612503
08-Jun-1951,-0.0025143241730589813,-0.05868198053285389,-0.06119630470591287
09-Jun-1951,-0.002608846866817493,-0.06112853193094429,-0.06373737879776178
10-Jun-1951,-0.0027026454238210274,-0.06357331079386448,-0.0662759562176855
11-Jun-1951,-0.002795692307628679,-0.06601544698927374,-0.06881113929690241
12-Jun-1951,-0.0028879602034280376,-0.06845407528077505,-0.07134203548420308
13-Jun-1951,-0.0029794220262071166,-0.07088833544367965,-0.07386775746988676
14-Jun-1951,-0.0030700509287029092,-0.07331737238183134,-0.07638742331053425
15-Jun-1951,-0.0031598203094334704,-0.07574033625163902,-0.0789001565610725
16-Jun-1951,-0.0032487038205045496,-0.07815638258662577,-0.08140508640713032
17-Jun-1951,-0.0033366753754922414,-0.08056467242860177,-0.08390134780409401
18-Jun-1951,-0.0034237091570985347,-0.08296437245887595,-0.08638808161597449
19-Jun-1951,-0.003509779624866233,-0.08535465513531186,-0.0888644347601781
20-Jun-1951,-0.003594861522719025,-0.08773469883013535,-0.09132956035285437
21-Jun-1951,-0.003678929886419232,-0.09010368797022472,-0.09378261785664395
22-Jun-1951,-0.0037619600510272306,-0.0924608131814885,-0.09622277323251573
23-Jun-1951,-0.0038439276581398664,-0.0948052714324662,-0.09864919909060607
24-Jun-1951,-0.00392480866317788,-0.09713626618267816,-0.10106107484585604
25-Jun-1951,-0.004004579342442227,-0.09945300752965858,-0.1034575868721008
26-Jun-1951,-0.004083216300211594,-0.10175471236027313,-0.10583792866048472
27-Jun-1951,-0.004160696475608342,-0.10404060450039582,-0.10820130097600415
28-Jun-1951,-0.004236997149497688,-0.10630991486842517,-0.11054691201792285
29-Jun-1951,-0.004312095951155093,-0.10856188162689384,-0.11287397757804893
30-Jun-1951,-0.004385970864958998,-0.11079575033747262,-0.11518172120243161
01-Jul-1951,-0.004458600236851742,-0.11301077411381452,-0.11746937435066626
02-Jul-1951,-0.004529962780810441,-0.11520621377724079,-0.11973617655805123
03-Jul-1951,-0.004600037585130826,-0.11738133801096325,-0.12198137559609407
04-Jul-1951,-0.004668804118602403,-0.11953542351440942,-0.12420422763301182
05-Jul-1951,-0.0047362422366432145,-0.12166775515899393,-0.12640399739563715
06-Jul-1951,-0.004802332187211641,-0.1237776261413405,-0.12857995832855212
07-Jul-1951,-0.004867054616715734,-0.125864338138566,-0.13073139275528176
08-Jul-1951,-0.0049303905756928725,-0.12792720146067668,-0.13285759203636954
09-Jul-1951,-0.004992321524478935,-0.12996553520465084,-0.13495785672912977
10-Jul-1951,-0.00505282933864916,-0.13197866740550798,-0.13703149674415716
11-Jul-1951,-0.005111896314440465,-0.13396593518869893,-0.1390778315031394
12-Jul-1951,-0.005169505173946975,-0.13592668491936266,-0.14109619009330965
13-Jul-1951,-0.005225639070289122,-0.13786027235255607,-0.14308591142284519
14-Jul-1951,-0.005280281592557659,-0.139766062780237,-0.14504634437279468
15-Jul-1951,-0.005333416770717979,-0.14164343117878184,-0.1469768479494998
16-Jul-1951,-0.005385029080324042,-0.14349176235383565,-0.1488767914341597
17-Jul-1951,-0.005435103447103233,-0.14531045108368906,-0.1507455545307923
18-Jul-1951,-0.005483625251460405,-0.14709890226213884,-0.15258252751359924
19-Jul-1951,-0.005530580332768282,-0.14885653103795654,-0.15438711137072483
20-Jul-1951,-0.005575954993603945,-0.15058276295427675,-0.1561587179478807
21-Jul-1951,-0.005619736003768619,-0.1522770340844063,-0.1578967700881749
22-Jul-1951,-0.005661910604245781,-0.15393879116727713,-0.1596007017715229
23-Jul-1951,-0.005702466510945561,-0.15556749173924342,-0.16126995825018897
24-Jul-1951,-0.0057413919183797995,-0.15716260426522938,-0.16290399618360918
25-Jul-1951,-0.005778675503126623,-0.15872360826621143,-0.16450228376933806
26-Jul-1951,-0.005814306427214477,-0.16024999444569282,-0.1660643008729073
27-Jul-1951,-0.0058482743413207795,-0.16174126481292092,-0.1675895391542417
28-Jul-1951,-0.0058805693878289,-0.16319693280370404,-0.16907750219153295
29-Jul-1951,-0.005911182203773302,-0.16461652339943456,-0.17052770560320785
30-Jul-1951,-0.005940112341356138,-0.16599963008813468,-0.1719397424294908
31-Jul-1951,-0.005967359112453367,-0.16734585494431845,-0.1733132140567718
01-Aug-1951,-0.005992914654055773,-0.16865476170471508,-0.17464767635877085
02-Aug-1951,-0.006016771608012793,-0.1699259260447252,-0.17594269765273798
03-Aug-1951,-0.006038923123191865,-0.17115893568459584,-0.1771978588077877
04-Aug-1951,-0.006059362857528169,-0.17235339049346923,-0.1784127533509974
05-Aug-1951,-0.006078084979885764,-0.1735089025896428,-0.17958698756952857
06-Aug-1951,-0.006095084171802168,-0.1746250964384602,-0.18072018061026235
07-Aug-1951,-0.006110355629049131,-0.1757016089464208,-0.18181196457546994
08-Aug-1951,-0.006123895063068695,-0.17673808955270934,-0.18286198461577804
09-Aug-1951,-0.006135698702237999,-0.17773420031711798,-0.18386989901935596
10-Aug-1951,-0.006145763292984278,-0.17868961600476888,-0.18483537929775315
11-Aug-1951,-0.00615408610075659,-0.17960402416776822,-0.18575811026852482
12-Aug-1951,-0.006160664910828314,-0.1804771252231967,-0.186637790134025
13-Aug-1951,-0.0061654980289597905,-0.18130863252800042,-0.18747413055696022
14-Aug-1951,-0.006168584281895496,-0.18209827245024765,-0.18826685673214313
15-Aug-1951,-0.006169923017715036,-0.18284578443708532,-0.18901570745480037
16-Aug-1951,-0.006169514106024493,-0.18355092107913035,-0.18972043518515483
17-Aug-1951,-0.006167357937995406,-0.18422108082835753,-0.19038843876635295
18-Aug-1951,-0.006163455426250018,-0.1848681623638386,-0.19103161779008862
19-Aug-1951,-0.0061578080045882,-0.18549026321845336,-0.19164807122304156
20-Aug-1951,-0.006150417627566682,-0.18608697678910172,-0.1922373944166684
21-Aug-1951,-0.006141286769915494,-0.1866580947718123,-0.1927993815417278
22-Aug-1951,-0.00613041842580588,-0.18720387533096958,-0.19333429375677547
23-Aug-1951,-0.006117816107967626,-0.1877249239715162,-0.19384274007948382
24-Aug-1951,-0.006103483846639001,-0.1882208746534867,-0.1943243585001257
25-Aug-1951,-0.00608742618838394,-0.18869154620965728,-0.1947789723980412
26-Aug-1951,-0.006069648194731876,-0.1891367654640748,-0.19520641365880667
27-Aug-1951,-0.006050155440692315,-0.189571070971514,-0.1956212264122063
28-Aug-1951,-0.006028954013086949,-0.18999565989392272,-0.19602461390700968
29-Aug-1951,-0.00600605050876332,-0.19041038435976404,-0.19641643486852736
30-Aug-1951,-0.005981452032621291,-0.1908150995887263,-0.1967965516213476
31-Aug-1951,-0.005955166195527922,-0.19120966393462946,-0.19716483013015737
01-Sep-1951,-0.005927201112043681,-0.1915939389272708,-0.19752114003931448
